=== environment-table01.xlsx ===
Cell B1 | value='Climate hasard statistics - Regions' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Frequency of observation: Annual' | fill=FF00B0F0 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B3 | value='Territorial level: TL2' | fill=FF00B0F0 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B5 | value='Time period' | fill=FFFFFF00 | rows=[4] | cols=[1, 2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='2017' | fill=FFFFFF00 | rows=[4] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='2018' | fill=FFFFFF00 | rows=[4] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F5 | value='2019' | fill=FFFFFF00 | rows=[4] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G5 | value='2020' | fill=FFFFFF00 | rows=[4] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H5 | value='2021' | fill=FFFFFF00 | rows=[4] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell B6 | value='Reference area' | fill=FFFFFF00 | rows=[5] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell B7 | value='Measure: Land exposure to river flooding' | fill=FF00B0F0 | rows=[6] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B8 | value='Combined unit of measure: Percentage of area' | fill=FF00B0F0 | rows=[7] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B9 | value='Return period: 10 years' | fill=FF00B0F0 | rows=[8] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B10 | value='Heat stress threshold: Not applicable' | fill=FF00B0F0 | rows=[9] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B11 | value='New South Wales' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
