=== geography-table03.xlsx ===
Cell B1 | value='Green areas - Local areas' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Measure: Land area' | fill=FF00B0F0 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B3 | value='Territorial level: TL2' | fill=FF00B0F0 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B4 | value='Time period: 2021' | fill=FF00B0F0 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B5 | value='Combined unit of measure: Square kilometres' | fill=FF00B0F0 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B7 | value='Reference area' | fill=FFFFFF00 | rows=[6] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell B8 | value='Australia' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell B9 | value='·  New South Wales' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D9 | value='681425574.733658' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B10 | value='·  Victoria' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D10 | value='165533843.597918' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B11 | value='·  Queensland' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D11 | value='1593592199.97019' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B12 | value='·  South Australia' | fill=FF00B050 | rows=[11] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D12 | value='769198716.622098' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B13 | value='·  Western Australia' | fill=FF00B050 | rows=[12] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D13 | value='2261581250.30457' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B14 | value='·  Tasmania' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
