=== health-table05.xlsx ===
Cell B1 | value='Physicians by age and sex' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Measure: Health and social employment' | fill=FF00B0F0 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B3 | value='Health profession: Physicians' | fill=FF00B0F0 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B4 | value='Combined unit of measure: Persons' | fill=FF00B0F0 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B6 | value='Time period' | fill=FFFFFF00 | rows=[5] | cols=[1, 2] | col_header=True | row_header=False | metadata=False
Cell D6 | value='2015' | fill=FFFFFF00 | rows=[5] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E6 | value='2016' | fill=FFFFFF00 | rows=[5] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F6 | value='2017' | fill=FFFFFF00 | rows=[5] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G6 | value='2018' | fill=FFFFFF00 | rows=[5] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H6 | value='2019' | fill=FFFFFF00 | rows=[5] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I6 | value='2020' | fill=FFFFFF00 | rows=[5] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J6 | value='2021' | fill=FFFFFF00 | rows=[5] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K6 | value='2022' | fill=FFFFFF00 | rows=[5] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L6 | value='2023' | fill=FFFFFF00 | rows=[5] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell B7 | value='Reference area' | fill=FFFFFF00 | rows=[6] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell B8 | value='Sex: Female' | fill=FFFFFF00 | rows=[7] | cols=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B9 | value='Australia' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D9 | value='33370' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='35121' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='37318' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='39104' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='41275' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='43255' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='45200' | fill=00000000 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='47606' | fill=00000000 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Austria' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D10 | value='20418' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='21024' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='21549' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='22020' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='22664' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='23061' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='23745' | fill=00000000 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='24272' | fill=00000000 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='24981' | fill=00000000 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Belgium' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D11 | value='13822' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='14515' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='15049' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='15732' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='16317' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='17039' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='17652' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
