=== productivity-table01.xlsx ===
Cell A1 | value='R1' | fill=FF00B0F0 | rows=[0, 1] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell B1 | value='REVISIONS ANALYSIS' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Revisions since previously published estimates' | fill=FF00B0F0 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C5 | value='Whole economy' | fill=FFFFFF00 | rows=[4] | cols=[2, 3, 4, 5, 6, 7, 8, 9] | col_header=True | row_header=False | metadata=False
Cell C6 | value='Output per worker' | fill=FFFFFF00 | rows=[5] | cols=[2, 3] | col_header=True | row_header=False | metadata=False
Cell E6 | value='Output per job' | fill=FFFFFF00 | rows=[5] | cols=[4, 5] | col_header=True | row_header=False | metadata=False
Cell G6 | value='Output per hour worked' | fill=FFFFFF00 | rows=[5] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell C8 | value='Per cent' | fill=FFFFFF00 | rows=[7] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D8 | value='Per cent' | fill=FFFFFF00 | rows=[7] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E8 | value='Per cent' | fill=FFFFFF00 | rows=[7] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F8 | value='Per cent' | fill=FFFFFF00 | rows=[7] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G8 | value='Per cent' | fill=FFFFFF00 | rows=[7] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H8 | value='Per cent' | fill=FFFFFF00 | rows=[7] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell C9 | value='change on' | fill=FFFFFF00 | rows=[8] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D9 | value='change on' | fill=FFFFFF00 | rows=[8] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E9 | value='change on' | fill=FFFFFF00 | rows=[8] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F9 | value='change on' | fill=FFFFFF00 | rows=[8] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G9 | value='change on' | fill=FFFFFF00 | rows=[8] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H9 | value='change on' | fill=FFFFFF00 | rows=[8] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell C10 | value='quarter a' | fill=FFFFFF00 | rows=[9] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D10 | value='previous' | fill=FFFFFF00 | rows=[9] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E10 | value='quarter a' | fill=FFFFFF00 | rows=[9] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F10 | value='previous' | fill=FFFFFF00 | rows=[9] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G10 | value='quarter a' | fill=FFFFFF00 | rows=[9] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H10 | value='previous' | fill=FFFFFF00 | rows=[9] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell C11 | value='year ago' | fill=FFFFFF00 | rows=[10] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D11 | value='quarter' | fill=FFFFFF00 | rows=[10] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E11 | value='year ago' | fill=FFFFFF00 | rows=[10] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F11 | value='quarter' | fill=FFFFFF00 | rows=[10] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G11 | value='year ago' | fill=FFFFFF00 | rows=[10] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H11 | value='quarter' | fill=FFFFFF00 | rows=[10] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell B13 | value='Date' | fill=FFFFFF00 | rows=[12] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C13 | value='A4YN' | fill=FFFFFF00 | rows=[12] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D13 | value='A4YO' | fill=FFFFFF00 | rows=[12] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E13 | value='LNNP' | fill=FFFFFF00 | rows=[12] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F13 | value='DMWR' | fill=FFFFFF00 | rows=[12] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G13 | value='LZVD' | fill=FFFFFF00 | rows=[12] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H13 | value='TXBB' | fill=FFFFFF00 | rows=[12] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell B14 | value='2016 Q3' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C14 | value='0' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='0' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='0' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='0' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='0' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
