=== society-table59.xlsx ===
Cell D1 | value='Total individual insolvencies' | fill=FFFFFF00 | rows=[0] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell F1 | value='Bankruptcies' | fill=FFFFFF00 | rows=[0] | cols=[5, 6] | col_header=True | row_header=False | metadata=False
Cell H1 | value='Debt relief orders' | fill=FFFFFF00 | rows=[0] | cols=[7, 8] | col_header=True | row_header=False | metadata=False
Cell J1 | value='Individual voluntary arrangements' | fill=FFFFFF00 | rows=[0] | cols=[9, 10] | col_header=True | row_header=False | metadata=False
Cell A2 | value='2010' | fill=FF00B050 | rows=[1] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B2 | value='Q1' | fill=FF00B050 | rows=[1] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D2 | value='32.11' | fill=00000000 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F2 | value='16.67' | fill=00000000 | rows=[1] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H2 | value='4.02' | fill=00000000 | rows=[1] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J2 | value='11.41' | fill=00000000 | rows=[1] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B3 | value='Q2' | fill=FF00B050 | rows=[2] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D3 | value='32.41' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F3 | value='15.74' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H3 | value='5' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J3 | value='11.67' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Q3' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D4 | value='32.04' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F4 | value='14.69' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H4 | value='5.58' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J4 | value='11.77' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Q4' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D5 | value='30.85' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F5 | value='13.52' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H5 | value='5.75' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J5 | value='11.58' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A7 | value='2011' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='Q1' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D7 | value='29.51' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F7 | value='12.19' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H7 | value='5.98' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J7 | value='11.33' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Q2' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D8 | value='28.45' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F8 | value='11.28' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
