=== health-table19.xlsx ===
Cell A1 | value='Data Dictionary - HCP Influenza Vaccination by Hospital and County' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell A2 | value='Field' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Format' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Definition' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Influenza_Season' | fill=5 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='Plain Text' | fill=5 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='October 01, 2023 through March 31, 2024' | fill=5 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A4 | value='State' | fill=5 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Plain Text' | fill=5 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='California' | fill=5 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A5 | value='CDPH_HAI_HCP_FLU_VACCINATION' | fill=5 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Plain Text' | fill=5 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination' | fill=5 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A6 | value='County' | fill=5 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Plain Text' | fill=5 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='Reported County' | fill=5 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Facility_ID' | fill=5 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Plain Text' | fill=5 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
