=== religion-table04.xlsx ===
Cell A1 | value='Table 8: Proportion of employed people working in an upper-middle-skilled occupation, by religion, England and Wales, 2012 to 2018' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell W1 | value='Contents' | fill=FF00B0F0 | rows=[0] | cols=[22] | col_header=False | row_header=False | metadata=True
Cell W3 | value='Percentage' | fill=FFFFFF00 | rows=[2] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell C4 | value='2012' | fill=FFFFFF00 | rows=[3] | cols=[2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell F4 | value='2013' | fill=FFFFFF00 | rows=[3] | cols=[5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell I4 | value='2014' | fill=FFFFFF00 | rows=[3] | cols=[8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell L4 | value='2015' | fill=FFFFFF00 | rows=[3] | cols=[11, 12, 13] | col_header=True | row_header=False | metadata=False
Cell O4 | value='2016' | fill=FFFFFF00 | rows=[3] | cols=[14, 15, 16] | col_header=True | row_header=False | metadata=False
Cell R4 | value='2017' | fill=FFFFFF00 | rows=[3] | cols=[17, 18, 19] | col_header=True | row_header=False | metadata=False
Cell U4 | value='2018' | fill=FFFFFF00 | rows=[3] | cols=[20, 21, 22] | col_header=True | row_header=False | metadata=False
Cell C5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell B6 | value='No religion' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
