=== religion-table07.xlsx ===
Cell A1 | value='Table 14: Highest level of educational attainment by religion, 2012 to 2018' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell S1 | value='Contents' | fill=FF00B0F0 | rows=[0] | cols=[18] | col_header=False | row_header=False | metadata=True
Cell S3 | value='Percentage' | fill=FFFFFF00 | rows=[2] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell A4 | value='2012' | fill=FFFFFF00 | rows=[3, 4] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B4 | value='Degree or Equivalent' | fill=FFFFFF00 | rows=[3] | cols=[1, 2, 3] | col_header=True | row_header=False | metadata=False
Cell E4 | value='Higher Education' | fill=FFFFFF00 | rows=[3] | cols=[4, 5, 6] | col_header=True | row_header=False | metadata=False
Cell H4 | value='GCE A level or equivalent' | fill=FFFFFF00 | rows=[3] | cols=[7, 8, 9] | col_header=True | row_header=False | metadata=False
Cell K4 | value='GCSE grades A-C* equivalent' | fill=FFFFFF00 | rows=[3] | cols=[10, 11, 12] | col_header=True | row_header=False | metadata=False
Cell N4 | value='Other qualification' | fill=FFFFFF00 | rows=[3] | cols=[13, 14, 15] | col_header=True | row_header=False | metadata=False
Cell Q4 | value='No qualification' | fill=FFFFFF00 | rows=[3] | cols=[16, 17, 18] | col_header=True | row_header=False | metadata=False
Cell B5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[7] | col_header=True | row_header=False | metadata=False
