=== society-table14.xlsx ===
Cell A1 | value='State or area' | fill=FFFFFF00 | rows=[0, 1] | cols=[0, 1, 2] | col_header=True | row_header=True | metadata=False
Cell D1 | value='Total' | fill=FF00B0F0 | rows=[0, 1] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E1 | value='Category' | fill=FFFFFF00 | rows=[0] | cols=[4, 5] | col_header=True | row_header=False | metadata=False
Cell G1 | value='Age' | fill=FFFFFF00 | rows=[0] | cols=[6, 7, 8] | col_header=True | row_header=False | metadata=False
Cell E2 | value='Aged' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Blind and
disabled' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Under 18' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='18–64' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='65 or
older' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell C3 | value='Total, United States' | fill=FF00B050 | rows=[2] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D3 | value='3077819' | fill=FF00B0F0 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E3 | value='424782' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='2653037' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='502763' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='1886790' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='688266' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A4 | value='Alabama' | fill=FF00B050 | rows=[3] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D4 | value='65133' | fill=FF00B0F0 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E4 | value='3708' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='61424' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='14114' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='42815' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='8204' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Alaska' | fill=FF00B050 | rows=[4] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D5 | value='4359' | fill=FF00B0F0 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E5 | value='607' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='3752' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='490' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='2975' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='895' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Arizona' | fill=FF00B050 | rows=[5] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D6 | value='39176' | fill=FF00B0F0 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E6 | value='3796' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='35380' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='7973' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='24451' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='6752' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Arkansas' | fill=FF00B050 | rows=[6] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D7 | value='33214' | fill=FF00B0F0 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E7 | value='1751' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='31462' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='7826' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='21473' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='3914' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A8 | value='California' | fill=FF00B050 | rows=[7] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D8 | value='668122' | fill=FF00B0F0 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E8 | value='174809' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='493313' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='58146' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='354833' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='255143' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Colorado' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D9 | value='21725' | fill=FF00B0F0 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E9 | value='2488' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='19237' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='3190' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='14615' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='3921' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Connecticut' | fill=FF00B050 | rows=[9] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
