=== society-table26.xlsx ===
Cell D1 | value='Excess COVID Death Associated with Maintaining Essential Services' | fill=00000000 | rows=[0] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G1 | value='CALCULATION SHEET - HIDDEN' | fill=00000000 | rows=[0] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell K1 | value='(Px (1-Θ))' | fill=FF00B0F0 | rows=[0] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell N1 | value='P = 1 - (1 - pv tv x (1 - Eppe))2v x (1 - po to) 2vn' | fill=FF00B0F0 | rows=[0] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell Z1 | value='THESE ARE THE CALCULATIONS USED FOR THE FINAL RESULTS' | fill=FF00B0F0 | rows=[0] | cols=[25] | col_header=False | row_header=False | metadata=True
Cell A2 | value='HIDDEN' | fill=00000000 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell G2 | value='Original' | fill=9 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H2 | value='After Mitigation Measures' | fill=9 | rows=[1] | cols=[7, 8] | col_header=False | row_header=False | metadata=False
Cell J2 | value='Baseline' | fill=FFFFFF00 | rows=[1] | cols=[9, 10, 11, 12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='PPE' | fill=FFFFFF00 | rows=[1] | cols=[13, 14, 15, 16] | col_header=True | row_header=False | metadata=False
Cell R2 | value='PPE+Temperature Screening' | fill=FFFFFF00 | rows=[1] | cols=[17, 18, 19, 20] | col_header=True | row_header=False | metadata=False
Cell V2 | value='With PPE+TS+Reduction in Number of Contacts' | fill=FFFFFF00 | rows=[1] | cols=[21, 22, 23, 24] | col_header=True | row_header=False | metadata=False
Cell Z2 | value='Reduced Number of Contacts + Intervention-Specific Reduction in Infection Risk - Scen. 1' | fill=FFFFFF00 | rows=[1] | cols=[25, 26, 27, 28] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Selected' | fill=9 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='Int#' | fill=9 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='Int# in LiST' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F3 | value='Number of Patients Receiving Care due To Mitigation Measures' | fill=FF7030A0 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='Average No. of Patient Contacts with Provider' | fill=9 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='Average No. of Patient Contact with Provider' | fill=9 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='Reduction in Transmission Risk' | fill=9 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='Risk of SARS-Cov2 Transmission' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K3 | value='Excess Risk' | fill=FFFFFF00 | rows=[2] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L3 | value='Excess Infections' | fill=FFFFFF00 | rows=[2] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M3 | value='Excess Deaths' | fill=FFFFFF00 | rows=[2] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N3 | value='Risk of SARS-Cov2 Transmission' | fill=FFFFFF00 | rows=[2] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O3 | value='Excess Risk' | fill=FFFFFF00 | rows=[2] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P3 | value='Excess Infections' | fill=FFFFFF00 | rows=[2] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q3 | value='Excess Deaths' | fill=FFFFFF00 | rows=[2] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R3 | value='Risk of SARS-Cov2 Transmission' | fill=FFFFFF00 | rows=[2] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S3 | value='Excess Risk' | fill=FFFFFF00 | rows=[2] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T3 | value='Excess Infections' | fill=FFFFFF00 | rows=[2] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U3 | value='Excess Deaths' | fill=FFFFFF00 | rows=[2] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V3 | value='Risk of SARS-Cov2 Transmission' | fill=FFFFFF00 | rows=[2] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W3 | value='Excess Risk' | fill=FFFFFF00 | rows=[2] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X3 | value='Excess Infections' | fill=FFFFFF00 | rows=[2] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell Y3 | value='Excess Deaths' | fill=FFFFFF00 | rows=[2] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z3 | value='Risk of SARS-Cov2 Transmission' | fill=FFFFFF00 | rows=[2] | cols=[25] | col_header=True | row_header=False | metadata=False
Cell AA3 | value='Excess Risk' | fill=FFFFFF00 | rows=[2] | cols=[26] | col_header=True | row_header=False | metadata=False
Cell AB3 | value='Excess Infections' | fill=FFFFFF00 | rows=[2] | cols=[27] | col_header=True | row_header=False | metadata=False
Cell AC3 | value='Excess Deaths' | fill=FFFFFF00 | rows=[2] | cols=[28] | col_header=True | row_header=False | metadata=False
Cell D4 | value='By Package' | fill=None | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G4 | value='Total for Packages' | fill=None | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B5 | value='0' | fill=9 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='0' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='Family Planning' | fill=9 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F5 | value='106900' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='5.18054256314312' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='5.18054256314312' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='0.89' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='0.00871842056125827' | fill=None | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='0.006684122430298' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='4501.5559331328' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='11.4382485862757' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='0.00852751687437714' | fill=None | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='0.00653776293702247' | fill=None | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='4402.98720519652' | fill=00000000 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='8.5773056193346' | fill=00000000 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='0.00835570405568642' | fill=None | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='0.00640603977602625' | fill=None | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='4314.2756079604' | fill=00000000 | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='8.4044896546242' | fill=00000000 | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V5 | value='0.00835570405568642' | fill=None | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='0.00640603977602625' | fill=None | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X5 | value='4314.2756079604' | fill=00000000 | rows=[4] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y5 | value='8.4044896546242' | fill=00000000 | rows=[4] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z5 | value='0.00701833452286849' | fill=None | rows=[4] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA5 | value='0.00538072313419917' | fill=00000000 | rows=[4] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB5 | value='3261.3800482702' | fill=00000000 | rows=[4] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC5 | value='6.35338058257318' | fill=00000000 | rows=[4] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD5 | value='A' | fill=FF00B0F0 | rows=[4] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell B6 | value='100' | fill=5 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='100' | fill=5 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='Antenatal Care' | fill=5 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F6 | value='152700' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='8' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='#REF!' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='0.87' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='0.0134313484042911' | fill=None | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='0.00761109742909826' | fill=None | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='7321.95183776682' | fill=00000000 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='25.1711270963762' | fill=00000000 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='0.0131379335540256' | fill=None | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='0.010072415724753' | fill=None | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='9689.76465136959' | fill=00000000 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='18.8762921445992' | fill=00000000 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='0.0128738346662849' | fill=None | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='0.00986993991081841' | fill=None | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='9494.98089360642' | fill=00000000 | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='18.4968407080733' | fill=00000000 | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V6 | value='#REF!' | fill=None | rows=[5] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W6 | value='#REF!' | fill=None | rows=[5] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X6 | value='#REF!' | fill=00000000 | rows=[5] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y6 | value='#REF!' | fill=00000000 | rows=[5] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z6 | value='#REF!' | fill=None | rows=[5] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA6 | value='#REF!' | fill=None | rows=[5] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB6 | value='#REF!' | fill=00000000 | rows=[5] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC6 | value='#REF!' | fill=00000000 | rows=[5] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD6 | value='A' | fill=FF00B0F0 | rows=[5] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell B7 | value='200' | fill=None | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='200' | fill=None | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='Delivery Care' | fill=None | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F7 | value='56100' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='5.11764705882353' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='#REF!' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='0.77' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='0.01237908870074' | fill=6 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='0.00701481693041934' | fill=6 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='2479.24674771811' | fill=6 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='8.52306002181015' | fill=6 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='0.0118149148902391' | fill=6 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='0.00905810141584999' | fill=6 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='3201.40478340386' | fill=6 | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='6.23654486346139' | fill=6 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='0.0113071662462297' | fill=6 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='0.0086688274554428' | fill=6 | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='3063.82368757715' | fill=6 | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='5.96852793510059' | fill=6 | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='#REF!' | fill=6 | rows=[6] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W7 | value='#REF!' | fill=6 | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X7 | value='#REF!' | fill=6 | rows=[6] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y7 | value='#REF!' | fill=6 | rows=[6] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z7 | value='#REF!' | fill=6 | rows=[6] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA7 | value='#REF!' | fill=6 | rows=[6] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB7 | value='#REF!' | fill=6 | rows=[6] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC7 | value='#REF!' | fill=6 | rows=[6] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD7 | value='H' | fill=FF00B0F0 | rows=[6] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell B8 | value='200' | fill=9 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='200' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='Newborn Care' | fill=9 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F8 | value='56100' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='4' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='#REF!' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='0.79' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='0.0096887546730593' | fill=6 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='0.0054902943147336' | fill=6 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='1940.4347196563' | fill=6 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='6.67075255791176' | fill=6 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='0.00924661760082079' | fill=6 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='0.00708907349396261' | fill=6 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='2505.4912449712' | fill=6 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='4.88086000098334' | fill=6 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='0.00884874746801978' | fill=6 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='0.00678403972548183' | fill=6 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='2397.68316017704' | fill=6 | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='4.67084283572261' | fill=6 | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='#REF!' | fill=6 | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='#REF!' | fill=6 | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X8 | value='#REF!' | fill=6 | rows=[7] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y8 | value='#REF!' | fill=6 | rows=[7] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z8 | value='#REF!' | fill=6 | rows=[7] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA8 | value='#REF!' | fill=6 | rows=[7] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB8 | value='#REF!' | fill=6 | rows=[7] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC8 | value='#REF!' | fill=6 | rows=[7] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD8 | value='H' | fill=FF00B0F0 | rows=[7] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell D9 | value='Breastfeeding' | fill=None | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F9 | value='120200' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='3.71214642262895' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='3.71214642262895' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='0.87' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='0.00625498044544937' | fill=None | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
