=== society-table45.xlsx ===
Cell A1 | value='Variable' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell C1 | value='Mean' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Comment' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell A2 | value='Number of children receiving vaccination/adults receiving health intervention x' | fill=FF00B050 | rows=[1] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B2 | value='I' | fill=None | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='200000' | fill=9 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='This is just for illustration, the actual number of visits and infections is calculated separately for each intervention' | fill=None | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Number of visits for vaccination/health intervention x' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='v' | fill=None | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='1' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A4 | value='Current percentage of population that has or has had COVID' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='CP' | fill=None | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='0.1' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='Number of COVID cases in 2020 divided by total population' | fill=None | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Duration of period at risk (in months):  Number of months until herd immunity is achieved' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='T' | fill=None | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='8' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='Length of community spread. After this period, between 40% and 70% of the population will have been infected (corresponds to herd immunity required for R0 between 1.6 and 3.6' | fill=None | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Proportion of SARS-CoV2 infected population at end of risk period' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='Θ' | fill=None | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='0.33333333333333337' | fill=None | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='Herd immunity calculated based on R0:' | fill=None | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Reproduction number for SARS-CoV2' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='R0' | fill=None | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='1.5' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='Expected number of cases directly generated by one case in a population where all individuals are susceptible to infection' | fill=None | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Duration of infectiousness (day)' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='Ψ' | fill=None | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='7' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='Number of days an infected individual spreads the virus on average' | fill=None | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Risk ratio of health care provider being infected and infectious vs. another community member' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='l1' | fill=None | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='2.5' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='Higher risk of being infected (between 1 and 4 times) because of higher frequency of exposure to other people
Community member:  6 contacts per day
Vaccinator: 21 potentially infectious contacts per day' | fill=None | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Risk ratio potentially infectious contact of a health care provider transmitting vs. another community member' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='l2' | fill=None | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='0.62' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='Lower risk of onward transmission (between 0.25 and 1 times) because most of HCW's contacts with vaccinees are brief, and they have enhanced risk awareness and use corresponding protective measures including basic respiratory hygiene and personal protective equipment as available' | fill=None | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Increased risk of inpatient stay vs. ambulatory visit (1 day stay vs. 1 outpatient visit)' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B11 | value='h' | fill=None | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='3' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='Higher risk of getting infected  due to a) longer stay in a potentially contagious environment, b) contacts with more health care providers,' | fill=None | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Average number of transmission-relevant contacts of a community member per day' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B12 | value='N' | fill=None | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='6' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Number of non-health care provider contacts of child and carer during their travel to the vaccine clinic and in the waiting room' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='n' | fill=None | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='5.5' | fill=9 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Prevalence among community members on any given day (ΘΨ / T)' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='po' | fill=None | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='0.0067123287671232885' | fill=None | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='Assumes reasonably flat epidemic curve, total cases spread out over months of community spread as specified above' | fill=None | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Prevalence among health care provider on any given day ( l1xpo)' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B15 | value='pv' | fill=None | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='0.01678082191780822' | fill=None | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='Higher risk due to increased number of potentially infectious contacts' | fill=None | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Probability of transmission given potentially infectious contact with community members (R0/NΨ)' | fill=FF00B050 | rows=[15] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B16 | value='t0' | fill=None | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='0.03571428571428571' | fill=None | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='General risk of acquiring infection in the community' | fill=None | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Probability of transmission given potentially infectious contact with health care provider (l2 x t0)' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='tv' | fill=None | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='0.02214285714285714' | fill=None | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A18 | value='Probability of transmission given potentially infectious contact with health care provider(s) during hospital stay (l2 x h x t0)' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='th' | fill=None | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='0.06642857142857142' | fill=None | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='Risk of acquiring infection  interacting with health care provider(s) during hospital stay' | fill=None | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Effectiveness of Health Facility Mitigation Measures' | fill=FFFFFF00 | rows=[18] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A20 | value='Effectiveness of Personal Protective Equipment' | fill=FF00B050 | rows=[19] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B20 | value='Eppe' | fill=None | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='0.1' | fill=9 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='Reduction in transmission risk across all interventions' | fill=None | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A21 | value='Effectiveness of Temperature Screening' | fill=FF00B050 | rows=[20] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B21 | value='Ets' | fill=None | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='0.1' | fill=9 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='Reduction in transmission risk across all interventions' | fill=None | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Effectiveness of  Reducing Number of Contacts' | fill=FF00B050 | rows=[21] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C22 | value='Intervention-specific' | fill=None | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='Proportional to Reduction (intervention-specific), see Sheet 6. Cells EX7:HS7' | fill=None | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A23 | value='1. Infection Risk for vaccination visits (child + caretaker):' | fill=FFFFFF00 | rows=[22] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A24 | value='Probability for a SARS-CoV-2 infection for the whole household of a child who gets vaccinated' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='P' | fill=None | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='0.003374883451595645' | fill=None | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='One minus the probability of either the infant or the mother not being infected by either the vaccinator or anyone else on any of the vaccination visits' | fill=None | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A25 | value='Probability for excess SARS-CoV-2 infection for the whole household of a child who gets vaccinated (Px (1-Θ))' | fill=FF00B050 | rows=[24] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B25 | value='PECHild' | fill=None | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='0.0025874106462233275' | fill=None | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='Probability of facility-visit related infection x Percent of population who has not gotten infected at the end of the risk period' | fill=None | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Probability of transmission during travel to clinic' | fill=FF00B050 | rows=[25] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C26 | value='0.0026338278021864614' | fill=None | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='1 - (1 - po to)2vn' | fill=00000000 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A27 | value='Probability of transmission during contact with health care provider' | fill=FF00B050 | rows=[26] | cols=[0] | col_header=False | row_header=True | metadata=False
