=== welfare-table12.xlsx ===
Cell A1 | value='Occupational group and industry' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Indexes (Dec. 2005=100)' | fill=FFFFFF00 | rows=[0] | cols=[1, 2, 3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Percent changes for' | fill=FFFFFF00 | rows=[0] | cols=[4, 5, 6, 7, 8, 9] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Sep. 2023' | fill=FFFFFF00 | rows=[1, 2] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Jun. 2024' | fill=FFFFFF00 | rows=[1, 2] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Sep.  2024' | fill=FFFFFF00 | rows=[1, 2] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='3-months ended-' | fill=FFFFFF00 | rows=[1] | cols=[4, 5, 6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='12-months ended-' | fill=FFFFFF00 | rows=[1] | cols=[7, 8, 9] | col_header=True | row_header=False | metadata=False
Cell E3 | value='Sep.
2023' | fill=FFFFFF00 | rows=[2] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='Jun.
2024' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='Sep.
2024' | fill=FFFFFF00 | rows=[2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='Sep.
2023' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='Jun.
2024' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='Sep.
2024' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell A5 | value='All workers(1)' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='160.7' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='165.4' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='167' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='1.3' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='0.9' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='1' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='4.6' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='4.2' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='3.9' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Excluding incentive paid occupations(2)' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='160.1' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='164.8' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='166.6' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='1.3' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
