=== environment-table24.xlsx ===
Cell A1 | value='Table 8 Scientific procedures (non-toxicology) by species of animal and techniques of particular interest' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A3 | value='Great Britain 2011' | fill=00000000 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell L3 | value='Number of procedures' | fill=FFFFFF00 | rows=[2] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell A4 | value='Species of animal' | fill=FFFFFF00 | rows=[3] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B4 | value='Techniques of particular interest' | fill=FFFFFF00 | rows=[3] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell K4 | value='All other' | fill=7 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='Total' | fill=7 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Interference with organs of special sense' | fill=43 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='Injection into brain' | fill=43 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='Interference with brain' | fill=43 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='Psychological stress' | fill=43 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='Aversive training' | fill=43 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='Radiation' | fill=43 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='Inhalation' | fill=43 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='Thermal injury' | fill=43 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='Physical trauma' | fill=43 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='techniques' | fill=7 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Mammal' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Mouse' | fill=47 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='16826' | fill=47 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='9120' | fill=47 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='8160' | fill=47 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='582' | fill=47 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='2840' | fill=47 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='23406' | fill=47 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='40692' | fill=47 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='0' | fill=47 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='2279' | fill=47 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='2408242' | fill=47 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='2512147' | fill=47 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Rat' | fill=00000000 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='7951' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='646' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='13386' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='1324' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='3439' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='257' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='12847' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='-' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='1372' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='118116' | fill=00000000 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='159338' | fill=00000000 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A9 | value='All other rodents' | fill=47 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='490' | fill=47 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='60' | fill=47 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='-' | fill=47 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='-' | fill=47 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='-' | fill=47 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='-' | fill=47 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='1378' | fill=47 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='-' | fill=47 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='21' | fill=47 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='8119' | fill=47 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='10068' | fill=47 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Rabbit' | fill=00000000 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='218' | fill=00000000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='-' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='-' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='-' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='-' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='-' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='24' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='-' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='77' | fill=00000000 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='4925' | fill=00000000 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='5244' | fill=00000000 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Cat' | fill=47 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='6' | fill=47 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='-' | fill=47 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='-' | fill=47 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='-' | fill=47 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='-' | fill=47 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='-' | fill=47 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='-' | fill=47 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='-' | fill=47 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
