=== health-table02.xlsx ===
Cell B1 | value='Healthcare provider resources' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Measure: Hospitals' | fill=FF00B0F0 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B3 | value='Combined unit of measure: Per 1 000 000 inhabitants' | fill=FF00B0F0 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B5 | value='Time period' | fill=FF00B050 | rows=[4] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D5 | value='2015' | fill=FF0549AB | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='2016' | fill=FF0549AB | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='2017' | fill=FF0549AB | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='2018' | fill=FF0549AB | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='2019' | fill=FF0549AB | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='2020' | fill=FF0549AB | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='2021' | fill=FF0549AB | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='2022' | fill=FF0549AB | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='2023' | fill=FF0549AB | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Reference area' | fill=FFFFFF00 | rows=[5] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell B7 | value='Hospital type: Total' | fill=FFB7DEF6 | rows=[6] | cols=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Australia' | fill=FFE2F2FB | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D8 | value='55.89' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='55.93' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
