=== religion-table06.xlsx ===
Cell A1 | value='Table 13: Religion composition, England and Wales, 2012 to 2018' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell V1 | value='Contents' | fill=FF00B0F0 | rows=[0] | cols=[21] | col_header=False | row_header=False | metadata=True
Cell V3 | value='Percentage' | fill=FFFFFF00 | rows=[2] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell B4 | value='2012' | fill=00000000 | rows=[3] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='2013' | fill=00000000 | rows=[3] | cols=[4, 5, 6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='2014' | fill=00000000 | rows=[3] | cols=[7, 8, 9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='2015' | fill=00000000 | rows=[3] | cols=[10, 11, 12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='2016' | fill=00000000 | rows=[3] | cols=[13, 14, 15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='2017' | fill=00000000 | rows=[3] | cols=[16, 17, 18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='2018' | fill=00000000 | rows=[3] | cols=[19, 20, 21] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T5 | value='Estimate' | fill=FFFFFF00 | rows=[4] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U5 | value='Lower 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V5 | value='Upper 95% confidence limit' | fill=FFFFFF00 | rows=[4] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell A6 | value='No religion' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='32' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='31.6' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='32.4' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='33.1' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='32.7' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='33.5' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='34.5' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='34.1' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='34.9' | fill=00000000 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='36.1' | fill=00000000 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='35.7' | fill=00000000 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='36.5' | fill=00000000 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='37.9' | fill=00000000 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='37.4' | fill=00000000 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='38.3' | fill=00000000 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='39.9' | fill=00000000 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='39.5' | fill=00000000 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='40.3' | fill=00000000 | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='42.1' | fill=00000000 | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='41.7' | fill=00000000 | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V6 | value='42.5' | fill=00000000 | rows=[5] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Christian' | fill=00000000 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='58' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='57.7' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='58.3' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='56.6' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='56.3' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='57' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='54.9' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='54.5' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='55.2' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='53' | fill=00000000 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='52.7' | fill=00000000 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='53.4' | fill=00000000 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='50.9' | fill=00000000 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='50.6' | fill=00000000 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='51.3' | fill=00000000 | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='49.1' | fill=00000000 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='48.7' | fill=00000000 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='49.4' | fill=00000000 | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
