=== science-table02.xlsx ===
Cell B1 | value='Income-based tax support for R&D and Innovation' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Combined unit of measure: Percentage of GDP' | fill=FF00B0F0 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B4 | value='Reference area' | fill=FFFFFF00 | rows=[3] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell B5 | value='Time period: 2018' | fill=FFB7DEF6 | rows=[4] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Non-OECD economies' | fill=FFE2F2FB | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B7 | value='·  Malta' | fill=FFE2F2FB | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D7 | value='0.0015' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Time period: 2019' | fill=FFB7DEF6 | rows=[7] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Korea' | fill=FFE2F2FB | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D9 | value='2.1e-05' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Non-OECD economies' | fill=FFE2F2FB | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B11 | value='·  Argentina' | fill=FFE2F2FB | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D11 | value='2.3e-05' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Time period: 2021' | fill=FFB7DEF6 | rows=[11] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Australia' | fill=FFE2F2FB | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D13 | value='0' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Austria' | fill=FFE2F2FB | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D14 | value='0' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Belgium' | fill=FFE2F2FB | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D15 | value='0.1256' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Canada' | fill=FFE2F2FB | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D16 | value='0.0003' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Chile' | fill=FFE2F2FB | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D17 | value='0' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Colombia' | fill=FFE2F2FB | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D18 | value='0' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Costa Rica' | fill=FFE2F2FB | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D19 | value='0' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Czechia' | fill=FFE2F2FB | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D20 | value='O ..' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Denmark' | fill=FFE2F2FB | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D21 | value='0' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Estonia' | fill=FFE2F2FB | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D22 | value='0' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Finland' | fill=FFE2F2FB | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D23 | value='0' | fill=00000000 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B24 | value='France' | fill=FFE2F2FB | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D24 | value='0.0222' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Germany' | fill=FFE2F2FB | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D25 | value='0' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Greece' | fill=FFE2F2FB | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D26 | value='0.0026' | fill=00000000 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B27 | value='Hungary' | fill=FFE2F2FB | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D27 | value='0.0129' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B28 | value='Iceland' | fill=FFE2F2FB | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D28 | value='0' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B29 | value='Ireland' | fill=FFE2F2FB | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D29 | value='0.0038' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Israel' | fill=FFE2F2FB | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D30 | value='0.2266' | fill=00000000 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B31 | value='Italy' | fill=FFE2F2FB | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D31 | value='0.0414' | fill=00000000 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B32 | value='Japan' | fill=FFE2F2FB | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D32 | value='0' | fill=00000000 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B33 | value='Latvia' | fill=FFE2F2FB | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D33 | value='0' | fill=00000000 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B34 | value='Lithuania' | fill=FFE2F2FB | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D34 | value='0.0414' | fill=00000000 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B35 | value='Luxembourg' | fill=FFE2F2FB | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D35 | value='0.0057' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B36 | value='Mexico' | fill=FFE2F2FB | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D36 | value='0' | fill=00000000 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B37 | value='Netherlands' | fill=FFE2F2FB | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D37 | value='0.217' | fill=00000000 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B38 | value='New Zealand' | fill=FFE2F2FB | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D38 | value='0' | fill=00000000 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B39 | value='Norway' | fill=FFE2F2FB | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D39 | value='0' | fill=00000000 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B40 | value='Poland' | fill=FFE2F2FB | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D40 | value='0.0181' | fill=00000000 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
