=== science-table46.xlsx ===
Cell A1 | value='Cumulative distribution of the logarithm of clone size used for Extended Data Figure 9g' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7] | col_header=True | row_header=True | metadata=True
Cell A3 | value='red' | fill=00000000 | rows=[2] | cols=[0, 1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='green' | fill=00000000 | rows=[2] | cols=[2, 3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='blue' | fill=00000000 | rows=[2] | cols=[4, 5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='black' | fill=00000000 | rows=[2] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell A4 | value='scaled clone size' | fill=FFFFFF00 | rows=[3] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B4 | value='cumulative probability' | fill=FFFFFF00 | rows=[3] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C4 | value='scaled clone size' | fill=FFFFFF00 | rows=[3] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D4 | value='cumulative probability' | fill=FFFFFF00 | rows=[3] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E4 | value='scaled clone size' | fill=FFFFFF00 | rows=[3] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F4 | value='cumulative probability' | fill=FFFFFF00 | rows=[3] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G4 | value='scaled clone size' | fill=FFFFFF00 | rows=[3] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H4 | value='cumulative probability' | fill=FFFFFF00 | rows=[3] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell A5 | value='-0.148119851626512' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='0.572211167410036' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='-0.749060889093044' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='0.798876226448477' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='-1.48464361604618' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='0.939659064370854' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='-1.84475608143733' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='0.9443281778677' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
