=== science-table57.xlsx ===
Cell C1 | value='CD40' | fill=00000000 | rows=[0] | cols=[2, 3, 4, 5, 6, 7, 8, 9] | col_header=False | row_header=False | metadata=False
Cell L1 | value='b-actin' | fill=00000000 | rows=[0] | cols=[11, 12, 13, 14, 15, 16, 17, 18] | col_header=False | row_header=False | metadata=False
Cell C2 | value='Expt1' | fill=00000000 | rows=[1] | cols=[2, 3] | col_header=False | row_header=False | metadata=False
Cell F2 | value='Expt2' | fill=00000000 | rows=[1] | cols=[5, 6] | col_header=False | row_header=False | metadata=False
Cell I2 | value='Expt3' | fill=00000000 | rows=[1] | cols=[8, 9] | col_header=False | row_header=False | metadata=False
Cell L2 | value='Expt1' | fill=00000000 | rows=[1] | cols=[11, 12] | col_header=False | row_header=False | metadata=False
Cell O2 | value='Expt2' | fill=00000000 | rows=[1] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell R2 | value='Expt3' | fill=00000000 | rows=[1] | cols=[17, 18] | col_header=False | row_header=False | metadata=False
Cell C3 | value='repli1' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='repli2' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F3 | value='repli1' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='repli2' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I3 | value='repli1' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='repli2' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L3 | value='repli1' | fill=00000000 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='repli2' | fill=00000000 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell O3 | value='repli1' | fill=00000000 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='repli2' | fill=00000000 | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell R3 | value='repli1' | fill=00000000 | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='repli2' | fill=00000000 | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell F4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell I4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell L4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell O4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell R4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell A5 | value='Set1' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='DC -siRNA - LPS' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='22.7032928466797' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='22.5872383117676' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F5 | value='23.1227836608887' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='22.9357414245605' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I5 | value='22.6345520019531' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='22.8322277069092' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L5 | value='15.517014503479' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='15.7530727386475' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell O5 | value='15.5347690582275' | fill=00000000 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='15.7237682342529' | fill=00000000 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell R5 | value='14.1647787094116' | fill=00000000 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='14.1468849182129' | fill=00000000 | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Set2' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='DC-siRNA + LPS' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='18.375545501709' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='18.136661529541' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F6 | value='18.254566192627' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='18.1562099456787' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I6 | value='18.4098663330078' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='18.3268013000488' | fill=00000000 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L6 | value='15.7258110046387' | fill=00000000 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='15.7396755218506' | fill=00000000 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell O6 | value='15.7965116500854' | fill=00000000 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='15.6599273681641' | fill=00000000 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell R6 | value='14.4756126403809' | fill=00000000 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='14.5016574859619' | fill=00000000 | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Set3' | fill=00000000 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='DC + Ctrl siRNA - LPS' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='22.3884754180908' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
