=== society-table01.xlsx ===
Cell A1 | value='Number of tables on this sheet:' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell B1 | value='4' | fill=9 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Overall participation in voluntary work' | fill=FF00B0F0 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A5 | value='Data owner:' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='Department for Culture, Media and Sport (With Arts Council England, Sports England, English Heritage and MLA).' | fill=9 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Link to data owner:' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='www.culture.gov.uk' | fill=9 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Data source:' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='Taking Part' | fill=9 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Link to data source:' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='https://www.kmrsoftware.net/netquestdcms/login/login.aspx?ReturnUrl=%2fnetquestdcms%2fdefault.aspx' | fill=9 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Date:' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='2005/06, 2006/07, 2007/08' | fill=9 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Update cycle:' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='Annual' | fill=9 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A12 | value='During the last 12 months, have you done any voluntary work?' | fill=FF00B0F0 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A14 | value='Total number of people that undertook voluntary work overall (000's) by region in 2005/06 and 2007/08' | fill=FF00B0F0 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B15 | value='Yes' | fill=00000000 | rows=[14] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='No' | fill=00000000 | rows=[14] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='Don't know' | fill=00000000 | rows=[14] | cols=[5, 6] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Region' | fill=FFFFFF00 | rows=[16] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B17 | value='2005/06' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='2007/08' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
