=== food-table06.xlsx ===
Cell A1 | value='Total poultry: Supply and disappearance (million pounds) and per capita disappearance (pounds)' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15] | col_header=True | row_header=True | metadata=True
Cell A2 | value='Year and qtr 1/' | fill=FFFFFF00 | rows=[1, 2] | cols=[0, 1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Production 2/' | fill=FFFFFF00 | rows=[1] | cols=[2, 3, 4, 5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Beginning stocks' | fill=FFFFFF00 | rows=[1, 2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Imports' | fill=FFFFFF00 | rows=[1, 2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='Total
supply 4/' | fill=FFFFFF00 | rows=[1, 2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='Exports' | fill=FFFFFF00 | rows=[1, 2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='Ending stocks' | fill=FFFFFF00 | rows=[1, 2] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='Total dis-
appearance
5/ 5/' | fill=FFFFFF00 | rows=[1, 2] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M2 | value='U.S. population 7/ (1,001 persons)' | fill=FFFFFF00 | rows=[1, 2] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='Per capita disappearance (pounds)' | fill=FFFFFF00 | rows=[1] | cols=[13, 14, 15] | col_header=True | row_header=False | metadata=False
Cell C3 | value='Federally inspected' | fill=FFFFFF00 | rows=[2] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D3 | value='Condemn-
ation 3/' | fill=FFFFFF00 | rows=[2] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='Net ready-to-cook (RTC) 4/' | fill=FFFFFF00 | rows=[2] | cols=[4, 5] | col_header=True | row_header=False | metadata=False
Cell N3 | value='Carcass weight' | fill=FFFFFF00 | rows=[2] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O3 | value='Retail weight' | fill=FFFFFF00 | rows=[2] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P3 | value='Boneless retail weight' | fill=FFFFFF00 | rows=[2] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell A4 | value='2020' | fill=FF00B050 | rows=[3, 4, 5, 6, 7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='Q1 Jan-Mar' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='12841.661' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='120.3919' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
