=== health-table11.xlsx ===
Cell B4 | value='Outpatient survey: national scores' | fill=FF00B0F0 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell R6 | value='2011-12' | fill=FFFFFF00 | rows=[5] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell G7 | value='2002-03' | fill=FFFFFF00 | rows=[6] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell I7 | value='2004-05' | fill=FFFFFF00 | rows=[6] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell K7 | value='2009-10' | fill=FFFFFF00 | rows=[6] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell N7 | value='2009-10 and 2011-12' | fill=FFFFFF00 | rows=[6] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell P7 | value='2011-12' | fill=FFFFFF00 | rows=[6] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell R7 | value='95% confidence' | fill=FFFFFF00 | rows=[6] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell N8 | value='adjusted' | fill=FFFFFF00 | rows=[7] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell R8 | value='interval' | fill=FFFFFF00 | rows=[7] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell B10 | value='Access & waiting12' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell G10 | value='68.2' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I10 | value='69' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K10 | value='72.5' | fill=00000000 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N10 | value='73.3' | fill=00000000 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P10 | value='74.9' | fill=00000000 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='S' | fill=00000000 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='0.17' | fill=00000000 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
