=== health-table22.xlsx ===
Cell A1 | value='Knowledge of HST' | fill=FFFFFF00 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14] | col_header=True | row_header=True | metadata=False
Cell P1 | value='Susceptibility to HIV' | fill=FFFFFF00 | rows=[0] | cols=[15, 16, 17] | col_header=True | row_header=False | metadata=False
Cell S1 | value='Benefits of HST' | fill=FFFFFF00 | rows=[0] | cols=[18, 19, 20, 21, 22, 23] | col_header=True | row_header=False | metadata=False
Cell Y1 | value='Barriers to HST' | fill=FFFFFF00 | rows=[0] | cols=[24, 25, 26, 27, 28, 29] | col_header=True | row_header=False | metadata=False
Cell AE1 | value='HST use' | fill=FFFFFF00 | rows=[0] | cols=[30, 31, 32, 33, 34, 35, 36, 37, 38] | col_header=True | row_header=False | metadata=False
Cell AN1 | value='Demographics' | fill=FFFFFF00 | rows=[0] | cols=[39, 40, 41, 42, 43, 44] | col_header=True | row_header=False | metadata=False
Cell AT1 | value='Means' | fill=FFFFFF00 | rows=[0] | cols=[45, 46, 47, 48, 49] | col_header=True | row_header=False | metadata=False
Cell A2 | value='K1' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='K2' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='K3' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='K4' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='K5' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='K6' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='K8' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='K9' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='K10' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='K11' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='K12' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='K13' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M2 | value='K14' | fill=FFFFFF00 | rows=[1] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='K15' | fill=FFFFFF00 | rows=[1] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O2 | value='K16' | fill=FFFFFF00 | rows=[1] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P2 | value='SUS1' | fill=FFFFFF00 | rows=[1] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q2 | value='SUS3' | fill=FFFFFF00 | rows=[1] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R2 | value='SUS4' | fill=FFFFFF00 | rows=[1] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S2 | value='BEN1' | fill=FFFFFF00 | rows=[1] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T2 | value='BEN2' | fill=FFFFFF00 | rows=[1] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U2 | value='BEN3' | fill=FFFFFF00 | rows=[1] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V2 | value='BEN4' | fill=FFFFFF00 | rows=[1] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W2 | value='BEN5' | fill=FFFFFF00 | rows=[1] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X2 | value='BEN6' | fill=FFFFFF00 | rows=[1] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell Y2 | value='BAR1' | fill=FFFFFF00 | rows=[1] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z2 | value='BAR3' | fill=FFFFFF00 | rows=[1] | cols=[25] | col_header=True | row_header=False | metadata=False
Cell AA2 | value='BAR4' | fill=FFFFFF00 | rows=[1] | cols=[26] | col_header=True | row_header=False | metadata=False
Cell AB2 | value='BAR5' | fill=FFFFFF00 | rows=[1] | cols=[27] | col_header=True | row_header=False | metadata=False
Cell AC2 | value='BAR6' | fill=FFFFFF00 | rows=[1] | cols=[28] | col_header=True | row_header=False | metadata=False
Cell AD2 | value='BAR7' | fill=FFFFFF00 | rows=[1] | cols=[29] | col_header=True | row_header=False | metadata=False
Cell AE2 | value='HST1' | fill=FFFFFF00 | rows=[1] | cols=[30] | col_header=True | row_header=False | metadata=False
Cell AF2 | value='HST2' | fill=FFFFFF00 | rows=[1] | cols=[31] | col_header=True | row_header=False | metadata=False
Cell AG2 | value='HST3' | fill=FFFFFF00 | rows=[1] | cols=[32] | col_header=True | row_header=False | metadata=False
Cell AH2 | value='HST4' | fill=FFFFFF00 | rows=[1] | cols=[33] | col_header=True | row_header=False | metadata=False
Cell AI2 | value='HST5' | fill=FFFFFF00 | rows=[1] | cols=[34] | col_header=True | row_header=False | metadata=False
Cell AJ2 | value='HST6' | fill=FFFFFF00 | rows=[1] | cols=[35] | col_header=True | row_header=False | metadata=False
Cell AK2 | value='HST7' | fill=FFFFFF00 | rows=[1] | cols=[36] | col_header=True | row_header=False | metadata=False
Cell AL2 | value='HST8' | fill=FFFFFF00 | rows=[1] | cols=[37] | col_header=True | row_header=False | metadata=False
Cell AM2 | value='HST9' | fill=FFFFFF00 | rows=[1] | cols=[38] | col_header=True | row_header=False | metadata=False
Cell AN2 | value='DC1' | fill=FFFFFF00 | rows=[1] | cols=[39] | col_header=True | row_header=False | metadata=False
Cell AO2 | value='DC2' | fill=FFFFFF00 | rows=[1] | cols=[40] | col_header=True | row_header=False | metadata=False
Cell AP2 | value='DC3' | fill=FFFFFF00 | rows=[1] | cols=[41] | col_header=True | row_header=False | metadata=False
Cell AQ2 | value='DC4' | fill=FFFFFF00 | rows=[1] | cols=[42] | col_header=True | row_header=False | metadata=False
Cell AR2 | value='DC5' | fill=FFFFFF00 | rows=[1] | cols=[43] | col_header=True | row_header=False | metadata=False
Cell AS2 | value='DC6' | fill=FFFFFF00 | rows=[1] | cols=[44] | col_header=True | row_header=False | metadata=False
Cell AT2 | value='Knowleg' | fill=FFFFFF00 | rows=[1] | cols=[45] | col_header=True | row_header=False | metadata=False
Cell AU2 | value='Susc' | fill=FFFFFF00 | rows=[1] | cols=[46] | col_header=True | row_header=False | metadata=False
Cell AV2 | value='Bene' | fill=FFFFFF00 | rows=[1] | cols=[47] | col_header=True | row_header=False | metadata=False
Cell AW2 | value='Bar' | fill=FFFFFF00 | rows=[1] | cols=[48] | col_header=True | row_header=False | metadata=False
Cell AX2 | value='Hst' | fill=FFFFFF00 | rows=[1] | cols=[49] | col_header=True | row_header=False | metadata=False
Cell A3 | value='1' | fill=00000000 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='1' | fill=00000000 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='1' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='1' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='1' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='3' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='1' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='1' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='5' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='1' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='1' | fill=00000000 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='5' | fill=00000000 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='5' | fill=00000000 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='5' | fill=00000000 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='5' | fill=00000000 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='1' | fill=00000000 | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='5' | fill=00000000 | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='5' | fill=00000000 | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='1' | fill=00000000 | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
