=== society-table44.xlsx ===
Cell A1 | value='HIDDEN' | fill=00000000 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell D1 | value='Coverage Calculations - Impact of Covid on Original Coverage, Impact of Mitigation Strategies' | fill=FF00B0F0 | rows=[0] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell F2 | value='Coverage Rate (%)' | fill=FFFFFF00 | rows=[1] | cols=[5, 6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='Number of Women/Children Receiving Intervention*' | fill=FFFFFF00 | rows=[1] | cols=[11, 12, 13, 14, 15, 16] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Selected' | fill=9 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='Int#' | fill=9 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='Int# in LiST' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F3 | value='2019 Pre-COVID' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='2020 With COVID' | fill=FFFFFF00 | rows=[2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='2021 WITHOUT Mitigation' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='2021 WITH Mitigation' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='2021 General recovery' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K3 | value='2021 WITH Mitigation + Gen. Recovery' | fill=FFFFFF00 | rows=[2] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L3 | value='2019 Pre-COVID' | fill=FFFFFF00 | rows=[2] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M3 | value='2020 With COVID' | fill=FFFFFF00 | rows=[2] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N3 | value='2021 WITHOUT Mitigation' | fill=FFFFFF00 | rows=[2] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O3 | value='2021 WITH Mitigation' | fill=FFFFFF00 | rows=[2] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P3 | value='2021 General recovery' | fill=FFFFFF00 | rows=[2] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q3 | value='2021 WITH Mitigation + Gen. Recovery' | fill=FFFFFF00 | rows=[2] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell B4 | value='0' | fill=9 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='0' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='Family Planning' | fill=FF00B050 | rows=[3, 4, 5, 6, 7, 8, 9, 10, 11] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E4 | value='Contraceptive Use' | fill=FF00B050 | rows=[3] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F4 | value='0.65735509' | fill=None | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='0.46039819' | fill=None | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='0.46039819' | fill=None | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='0.5186265378' | fill=2 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='0.591619581' | fill=None | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='0.68627871396' | fill=2 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='1334500' | fill=None | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='882100' | fill=None | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='887200' | fill=None | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='1020700' | fill=None | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='1216600' | fill=None | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='1411200' | fill=None | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A5 | value='x' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='1' | fill=9 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='7' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E5 | value='FP - Pills' | fill=FF00B050 | rows=[4] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F5 | value='0.50341753' | fill=None | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='0.3221872192' | fill=None | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='0.3221872192' | fill=None | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='0.373737174272' | fill=2 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='0.453075777' | fill=None | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='0.52556790132' | fill=2 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='1264400' | fill=None | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='814900' | fill=None | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='819600' | fill=None | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='950800' | fill=None | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='1152600' | fill=None | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='1337000' | fill=None | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A6 | value='x' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='2' | fill=9 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='1' | fill=9 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E6 | value='FP - Condoms' | fill=FF00B050 | rows=[5] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F6 | value='0' | fill=None | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='0' | fill=None | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='0' | fill=None | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='0' | fill=None | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='0' | fill=None | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='0' | fill=2 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='0' | fill=None | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='0' | fill=None | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='0' | fill=None | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='0' | fill=None | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='0' | fill=None | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='0' | fill=None | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B7 | value='3' | fill=9 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='4' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E7 | value='FP - Injectables' | fill=FF00B050 | rows=[6] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F7 | value='0' | fill=None | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='0' | fill=None | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='0' | fill=None | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='0' | fill=2 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
