=== society-table50.xlsx ===
Cell A1 | value='Family Planning' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A2 | value='Alternative Scenario: Disruption Applied only to Modern, Traditional Method Use Constant' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B3 | value='Coverage Rate (%)' | fill=FFFFFF00 | rows=[2] | cols=[1, 2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G3 | value='Pregnancies' | fill=FF00B0F0 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell B4 | value='2019 Pre-COVID' | fill=FFFFFF00 | rows=[3] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C4 | value='2020 With COVID' | fill=FFFFFF00 | rows=[3] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D4 | value='2021 WITHOUT Mitigation' | fill=FFFFFF00 | rows=[3] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E4 | value='2021 WITH Mitigation' | fill=FFFFFF00 | rows=[3] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell A5 | value='Contraceptive Use' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='0.65735509' | fill=None | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='0.4995898684' | fill=None | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='0.4995898684' | fill=None | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='0.66195657563' | fill=2 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G5 | value='WITHOUT Mitigation' | fill=FFFFFF00 | rows=[4] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell A6 | value='FP - Pills' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='0.50341753' | fill=None | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='0.3825973228' | fill=None | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='0.3825973228' | fill=None | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='0.50694145271' | fill=None | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G6 | value='2019' | fill=FF00B050 | rows=[5] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H6 | value='1072839' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A7 | value='FP - Condoms' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='0' | fill=None | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='0' | fill=None | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='0' | fill=None | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='0' | fill=None | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G7 | value='2020' | fill=FF00B050 | rows=[6] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H7 | value='1564739' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
