=== society-table70.xlsx ===
Cell D1 | value='JSA Sanction Decision Level' | fill=FFFFFF00 | rows=[0] | cols=[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Low' | fill=FFFFFF00 | rows=[1] | cols=[3, 4, 5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='Intermediate' | fill=FFFFFF00 | rows=[1] | cols=[8, 9, 10, 11, 12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='High' | fill=FFFFFF00 | rows=[1] | cols=[13, 14, 15, 16, 17] | col_header=True | row_header=False | metadata=False
Cell S2 | value='Level not applicable / not recorded' | fill=FFFFFF00 | rows=[1] | cols=[18, 19, 20, 21, 22] | col_header=True | row_header=False | metadata=False
Cell D3 | value='Non-adverse decisions4' | fill=FFFFFF00 | rows=[2] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='Adverse decisions5' | fill=FFFFFF00 | rows=[2] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='Reserved decisions6' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='Cancelled decisions7' | fill=FFFFFF00 | rows=[2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='Total decisions' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='Non-adverse decisions4' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='Adverse decisions5' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K3 | value='Reserved decisions6' | fill=FFFFFF00 | rows=[2] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L3 | value='Cancelled decisions7' | fill=FFFFFF00 | rows=[2] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M3 | value='Total decisions' | fill=FFFFFF00 | rows=[2] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N3 | value='Non-adverse decisions4' | fill=FFFFFF00 | rows=[2] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O3 | value='Adverse decisions5' | fill=FFFFFF00 | rows=[2] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P3 | value='Reserved decisions6' | fill=FFFFFF00 | rows=[2] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q3 | value='Cancelled decisions7' | fill=FFFFFF00 | rows=[2] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R3 | value='Total decisions' | fill=FFFFFF00 | rows=[2] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S3 | value='Non-adverse decisions4' | fill=FFFFFF00 | rows=[2] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T3 | value='Adverse decisions5' | fill=FFFFFF00 | rows=[2] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U3 | value='Reserved decisions6' | fill=FFFFFF00 | rows=[2] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V3 | value='Cancelled decisions7' | fill=FFFFFF00 | rows=[2] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W3 | value='Total decisions' | fill=FFFFFF00 | rows=[2] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell B4 | value='GREAT BRITAIN' | fill=FF00B050 | rows=[3] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D4 | value='342027' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='439317' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='65267' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='387855' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='1234463' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='74733' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='304634' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='532' | fill=00000000 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='25186' | fill=00000000 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='405085' | fill=00000000 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='135435' | fill=00000000 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='72908' | fill=00000000 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='29036' | fill=00000000 | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='44472' | fill=00000000 | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='281852' | fill=00000000 | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='855' | fill=00000000 | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='684' | fill=00000000 | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='-' | fill=00000000 | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V4 | value='7586' | fill=00000000 | rows=[3] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W4 | value='9119' | fill=00000000 | rows=[3] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Age Group' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='16-17 years of age' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D5 | value='190' | fill=9 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='350' | fill=9 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='25' | fill=9 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='71' | fill=9 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='636' | fill=9 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='48' | fill=9 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
