=== society-table72.xlsx ===
Cell C1 | value='All Individuals receiving an adverse sanction decision' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell B2 | value='GREAT BRITAIN' | fill=FF00B050 | rows=[1] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C2 | value='527574' | fill=9 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Age Group' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='16-17 years of age' | fill=FF00B050 | rows=[2] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C3 | value='538' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B4 | value='18-24 years of age' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='213027' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B5 | value='25-29  years of age' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='83541' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B6 | value='30-34  years of age' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='57905' | fill=9 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B7 | value='35-39  years of age' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='44234' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B8 | value='40-44 years of age' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='42526' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B9 | value='45-49 years of age' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
