=== society-table77.xlsx ===
Cell B1 | value='GREAT BRITAIN' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Failure to attend mandatory interview' | fill=FFFFFF00 | rows=[0, 1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Failure to participate in Work Related Activity' | fill=FFFFFF00 | rows=[0, 1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Total' | fill=FFFFFF00 | rows=[0, 1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell A2 | value='Level' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Outcome' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Appealed Decision' | fill=FF00B050 | rows=[2, 3, 4, 5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='Non-adverse' | fill=FF00B050 | rows=[2] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C3 | value='43' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='41' | fill=9 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='81' | fill=9 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Adverse' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='35' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='34' | fill=9 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='66' | fill=9 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Cancelled' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='-' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='-' | fill=9 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='-' | fill=9 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Total' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='77' | fill=22 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='73' | fill=22 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='148' | fill=22 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Reconsidered Decision' | fill=FF00B050 | rows=[6, 7, 8, 9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='Non-adverse' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='573' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='4377' | fill=9 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='4951' | fill=9 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Adverse' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='356' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='2764' | fill=9 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='3127' | fill=9 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Cancelled' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='6' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='85' | fill=9 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='90' | fill=9 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Total' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='937' | fill=22 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='7230' | fill=22 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='8165' | fill=22 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Cells in this table have been randomly adjusted to avoid the release of confidential data.  Due to adjustments totals may not be the sum of the individual cells.' | fill=FF00B0F0 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A16 | value='"-" dernotes a nil or negligible value' | fill=FF00B0F0 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A17 | value='A non-adverse decision is a decision found in favour of the claimant, i.e. a sanction or disallowance is not applied.' | fill=FF00B0F0 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A18 | value='An adverse decision is a decision found against the claimant, i.e. a sanction or disallowance is applied.' | fill=FF00B0F0 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A19 | value='A cancelled decision can occur in specific circumstances e.g. the claimant stops claiming before they actually committed the sanctionable failure.' | fill=FF00B0F0 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=True

