=== welfare-table08.xlsx ===
Cell A1 | value='Table 4. Employment Cost Index for total compensation(1), for civilian workers, by occupational group and industry' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=True | row_header=True | metadata=True
Cell A2 | value='[Not seasonally adjusted]' | fill=FF00B0F0 | rows=[1] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Occupational group and industry' | fill=FFFFFF00 | rows=[3, 4, 5] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B4 | value='Indexes (Dec. 2005=100)' | fill=FFFFFF00 | rows=[3] | cols=[1, 2, 3] | col_header=True | row_header=False | metadata=False
Cell E4 | value='Percent changes for' | fill=FFFFFF00 | rows=[3] | cols=[4, 5, 6, 7, 8, 9] | col_header=True | row_header=False | metadata=False
Cell B5 | value='Sep. 2023' | fill=FFFFFF00 | rows=[4, 5] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C5 | value='Jun. 2024' | fill=FFFFFF00 | rows=[4, 5] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='Sep.  2024' | fill=FFFFFF00 | rows=[4, 5] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='3-months ended-' | fill=FFFFFF00 | rows=[4] | cols=[4, 5, 6] | col_header=True | row_header=False | metadata=False
Cell H5 | value='12-months ended-' | fill=FFFFFF00 | rows=[4] | cols=[7, 8, 9] | col_header=True | row_header=False | metadata=False
Cell E6 | value='Sep.
2023' | fill=FFFFFF00 | rows=[5] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F6 | value='Jun.
2024' | fill=FFFFFF00 | rows=[5] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G6 | value='Sep.
2024' | fill=FFFFFF00 | rows=[5] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H6 | value='Sep.
2023' | fill=FFFFFF00 | rows=[5] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I6 | value='Jun.
2024' | fill=FFFFFF00 | rows=[5] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J6 | value='Sep.
2024' | fill=FFFFFF00 | rows=[5] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell A8 | value='All workers(2)' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='160.8' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='165.5' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='167' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='1.1' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='0.9' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='0.9' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='4.3' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='4.1' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='3.9' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
