=== education-table13.xlsx ===
Cell A1 | value='Dimension' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell C1 | value='Category' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Total' | fill=FFFFFF00 | rows=[0] | cols=[3, 4, 5, 6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell L1 | value='Personal and Community Development Learning' | fill=FFFFFF00 | rows=[0] | cols=[11, 12, 13, 14, 15, 16, 17, 18] | col_header=True | row_header=False | metadata=False
Cell T1 | value='Neighbourhood Learning in Deprived Communities' | fill=FFFFFF00 | rows=[0] | cols=[19, 20, 21, 22, 23, 24, 25, 26] | col_header=True | row_header=False | metadata=False
Cell AB1 | value='Family English, Maths and Language' | fill=FFFFFF00 | rows=[0] | cols=[27, 28, 29, 30, 31, 32, 33, 34] | col_header=True | row_header=False | metadata=False
Cell AJ1 | value='Wider Family Learning' | fill=FFFFFF00 | rows=[0] | cols=[35, 36, 37, 38, 39, 40, 41, 42] | col_header=True | row_header=False | metadata=False
Cell D2 | value='2015/16' | fill=FFFFFF00 | rows=[1] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='2016/17' | fill=FFFFFF00 | rows=[1] | cols=[5, 6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='2017/18' | fill=FFFFFF00 | rows=[1] | cols=[7, 8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='2018/19' | fill=FFFFFF00 | rows=[1] | cols=[9, 10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='2015/16' | fill=FFFFFF00 | rows=[1] | cols=[11, 12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='2016/17' | fill=FFFFFF00 | rows=[1] | cols=[13, 14] | col_header=True | row_header=False | metadata=False
Cell P2 | value='2017/18' | fill=FFFFFF00 | rows=[1] | cols=[15, 16] | col_header=True | row_header=False | metadata=False
Cell R2 | value='2018/19' | fill=FFFFFF00 | rows=[1] | cols=[17, 18] | col_header=True | row_header=False | metadata=False
Cell T2 | value='2015/16' | fill=FFFFFF00 | rows=[1] | cols=[19, 20] | col_header=True | row_header=False | metadata=False
Cell V2 | value='2016/17' | fill=FFFFFF00 | rows=[1] | cols=[21, 22] | col_header=True | row_header=False | metadata=False
Cell X2 | value='2017/18' | fill=FFFFFF00 | rows=[1] | cols=[23, 24] | col_header=True | row_header=False | metadata=False
Cell Z2 | value='2018/19' | fill=FFFFFF00 | rows=[1] | cols=[25, 26] | col_header=True | row_header=False | metadata=False
Cell AB2 | value='2015/16' | fill=FFFFFF00 | rows=[1] | cols=[27, 28] | col_header=True | row_header=False | metadata=False
Cell AD2 | value='2016/17' | fill=FFFFFF00 | rows=[1] | cols=[29, 30] | col_header=True | row_header=False | metadata=False
Cell AF2 | value='2017/18' | fill=FFFFFF00 | rows=[1] | cols=[31, 32] | col_header=True | row_header=False | metadata=False
Cell AH2 | value='2018/19' | fill=FFFFFF00 | rows=[1] | cols=[33, 34] | col_header=True | row_header=False | metadata=False
Cell AJ2 | value='2015/16' | fill=FFFFFF00 | rows=[1] | cols=[35, 36] | col_header=True | row_header=False | metadata=False
Cell AL2 | value='2016/17' | fill=FFFFFF00 | rows=[1] | cols=[37, 38] | col_header=True | row_header=False | metadata=False
Cell AN2 | value='2017/18' | fill=FFFFFF00 | rows=[1] | cols=[39, 40] | col_header=True | row_header=False | metadata=False
Cell AP2 | value='2018/19' | fill=FFFFFF00 | rows=[1] | cols=[41, 42] | col_header=True | row_header=False | metadata=False
Cell D3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell Y3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[25] | col_header=True | row_header=False | metadata=False
Cell AA3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[26] | col_header=True | row_header=False | metadata=False
Cell AB3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[27] | col_header=True | row_header=False | metadata=False
