=== education-table19.xlsx ===
Cell A1 | value='Grade' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Gender' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Total Students' | fill=FF00B0F0 | rows=[0, 1] | cols=[2, 3] | col_header=False | row_header=False | metadata=True
Cell E1 | value='Race/Ethnicity' | fill=FFFFFF00 | rows=[0] | cols=[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=True | row_header=False | metadata=False
Cell S1 | value='Students With Disabilities Served Under IDEA' | fill=FFFFFF00 | rows=[0, 1] | cols=[18, 19] | col_header=True | row_header=False | metadata=False
Cell U1 | value='Students With Disabilities Served Only Under Section 504' | fill=FFFFFF00 | rows=[0, 1] | cols=[20, 21] | col_header=True | row_header=False | metadata=False
Cell W1 | value='English Language Learners' | fill=FFFFFF00 | rows=[0, 1] | cols=[22, 23] | col_header=True | row_header=False | metadata=False
Cell Y1 | value='Number of Schools' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z1 | value='Percent of Schools Reporting' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[25] | col_header=True | row_header=False | metadata=False
Cell E2 | value='American Indian or
Alaska Native' | fill=FFFFFF00 | rows=[1] | cols=[4, 5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Asian' | fill=FFFFFF00 | rows=[1] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='Hispanic or Latino of any race' | fill=FFFFFF00 | rows=[1] | cols=[8, 9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='Black or African American' | fill=FFFFFF00 | rows=[1] | cols=[10, 11] | col_header=True | row_header=False | metadata=False
Cell M2 | value='White' | fill=FFFFFF00 | rows=[1] | cols=[12, 13] | col_header=True | row_header=False | metadata=False
Cell O2 | value='Native Hawaiian or Other Pacific Islander' | fill=FFFFFF00 | rows=[1] | cols=[14, 15] | col_header=True | row_header=False | metadata=False
Cell Q2 | value='Two or more races' | fill=FFFFFF00 | rows=[1] | cols=[16, 17] | col_header=True | row_header=False | metadata=False
Cell C3 | value='Number' | fill=FF00B0F0 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D3 | value='Percent' | fill=FF00B0F0 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[14] | col_header=True | row_header=False | metadata=False
