=== education-table21.xlsx ===
Cell A1 | value='DBN' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell B1 | value='School Name' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Performance Score' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Performance Grade' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Transfer HS Graduation Rate' | fill=FFFFFF00 | rows=[0] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F1 | value='Peer 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G1 | value='Peer 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H1 | value='Peer Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I1 | value='City 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J1 | value='City 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K1 | value='City Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L1 | value='Transfer HS Weighted Diploma Rate' | fill=FFFFFF00 | rows=[0] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M1 | value='Peer 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N1 | value='Peer 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O1 | value='Peer Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P1 | value='City 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q1 | value='City 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R1 | value='City Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S1 | value='Transfer HS Graduation Rate for Most At Risk Overage/Undercredited Grad Rate' | fill=FFFFFF00 | rows=[0] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T1 | value='Peer 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U1 | value='Peer 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V1 | value='Peer Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W1 | value='City 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X1 | value='City 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell Y1 | value='City Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z1 | value='Transfer HS Graduation Rate for Other Overage/Undercredited Grad Rate' | fill=FFFFFF00 | rows=[0] | cols=[25] | col_header=True | row_header=False | metadata=False
Cell AA1 | value='Peer 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[26] | col_header=True | row_header=False | metadata=False
Cell AB1 | value='Peer 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[27] | col_header=True | row_header=False | metadata=False
Cell AC1 | value='Peer Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[28] | col_header=True | row_header=False | metadata=False
Cell AD1 | value='City 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[29] | col_header=True | row_header=False | metadata=False
Cell AE1 | value='City 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[30] | col_header=True | row_header=False | metadata=False
Cell AF1 | value='City Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[31] | col_header=True | row_header=False | metadata=False
Cell AG1 | value='Transfer HS Graduation Rate for Non-Overage/Undercredited Grad Rate' | fill=FFFFFF00 | rows=[0] | cols=[32] | col_header=True | row_header=False | metadata=False
Cell AH1 | value='Peer 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[33] | col_header=True | row_header=False | metadata=False
Cell AI1 | value='Peer 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[34] | col_header=True | row_header=False | metadata=False
Cell AJ1 | value='Peer Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[35] | col_header=True | row_header=False | metadata=False
Cell AK1 | value='City 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[36] | col_header=True | row_header=False | metadata=False
Cell AL1 | value='City 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[37] | col_header=True | row_header=False | metadata=False
Cell AM1 | value='City Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[38] | col_header=True | row_header=False | metadata=False
Cell A2 | value='01M458' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Forsyth Satellite Academy' | fill=FF00B050 | rows=[1] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C2 | value='4.9' | fill=7 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='F' | fill=7 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='0.396' | fill=00000000 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
