=== employment-table06.xlsx ===
Cell A1 | value='Employment status, sex, and age' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Hispanic or Latino ethnicity' | fill=FFFFFF00 | rows=[0] | cols=[1, 2, 3, 4, 5, 6, 7, 8] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Total(1)' | fill=FF00B0F0 | rows=[1] | cols=[1, 2] | col_header=False | row_header=False | metadata=True
Cell D2 | value='Mexican' | fill=FFFFFF00 | rows=[1] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Puerto Rican' | fill=FFFFFF00 | rows=[1] | cols=[5, 6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Cuban' | fill=FFFFFF00 | rows=[1] | cols=[7, 8] | col_header=True | row_header=False | metadata=False
Cell B3 | value='2022' | fill=FF00B0F0 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C3 | value='2023' | fill=FF00B0F0 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D3 | value='2022' | fill=FFFFFF00 | rows=[2] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='2023' | fill=FFFFFF00 | rows=[2] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='2022' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='2023' | fill=FFFFFF00 | rows=[2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='2022' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='2023' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell A5 | value='TOTAL' | fill=FF00B0F0 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A6 | value='Civilian noninstitutional population' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='46171' | fill=FF00B0F0 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C6 | value='47532' | fill=FF00B0F0 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D6 | value='27692' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='28167' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='4175' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='4223' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='2188' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='2230' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Civilian labor force' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='30601' | fill=FF00B0F0 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C7 | value='31818' | fill=FF00B0F0 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D7 | value='18422' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='18890' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='2449' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='2553' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='1394' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='1427' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Participation rate' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='66.3' | fill=FF00B0F0 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C8 | value='66.9' | fill=FF00B0F0 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D8 | value='66.5' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='67.1' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='58.7' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='60.5' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='63.7' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='64' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Employed' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='29299' | fill=FF00B0F0 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C9 | value='30343' | fill=FF00B0F0 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D9 | value='17626' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='18014' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='2310' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='2421' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='1352' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='1379' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Employment-population ratio' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='63.5' | fill=FF00B0F0 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C10 | value='63.8' | fill=FF00B0F0 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D10 | value='63.6' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='64' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='55.3' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='57.3' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='61.8' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='61.8' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Unemployed' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B11 | value='1302' | fill=FF00B0F0 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C11 | value='1475' | fill=FF00B0F0 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D11 | value='796' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='876' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='139' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='133' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='42' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='48' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Unemployment rate' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B12 | value='4.3' | fill=FF00B0F0 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C12 | value='4.6' | fill=FF00B0F0 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D12 | value='4.3' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='4.6' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='5.7' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='5.2' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='3' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='3.4' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Not in labor force' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='15570' | fill=FF00B0F0 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C13 | value='15714' | fill=FF00B0F0 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D13 | value='9271' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='9277' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='1725' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='1670' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='793' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='803' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Men, 16 years and over' | fill=FFFFFF00 | rows=[14] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A16 | value='Civilian noninstitutional population' | fill=FF00B050 | rows=[15] | cols=[0] | col_header=False | row_header=True | metadata=False
