=== society-table08.xlsx ===
Cell A1 | value='Year' | fill=FFFFFF00 | rows=[0, 1] | cols=[0, 1] | col_header=True | row_header=True | metadata=False
Cell C1 | value='All ages' | fill=FFFFFF00 | rows=[0, 1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Under 18' | fill=FFFFFF00 | rows=[0] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell F1 | value='18–64 a' | fill=FFFFFF00 | rows=[0] | cols=[5, 6] | col_header=True | row_header=False | metadata=False
Cell H1 | value='65 or older' | fill=FFFFFF00 | rows=[0] | cols=[7, 8] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Number' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='Percentage
of total' | fill=FF00B0F0 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F2 | value='Number' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Percentage
of total' | fill=FF00B0F0 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H2 | value='Number' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='Percentage
of total' | fill=FF00B0F0 | rows=[1] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A3 | value='1974' | fill=FF00B050 | rows=[2] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C3 | value='3996064' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='b 70,900' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='1.8' | fill=FF00B0F0 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F3 | value='1503155' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='37.6' | fill=FF00B0F0 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H3 | value='2422009' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='60.6' | fill=FF00B0F0 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A4 | value='1975' | fill=FF00B050 | rows=[3] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='4314275' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='107026' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='2.5' | fill=FF00B0F0 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F4 | value='1699394' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='39.4' | fill=FF00B0F0 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H4 | value='2507855' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='58.1' | fill=FF00B0F0 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A5 | value='1976' | fill=FF00B050 | rows=[4] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='4235939' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='125412' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='3' | fill=FF00B0F0 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F5 | value='1713594' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='40.5' | fill=FF00B0F0 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H5 | value='2396933' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='56.6' | fill=FF00B0F0 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A6 | value='1977' | fill=FF00B050 | rows=[5] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='4237692' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='147355' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='3.5' | fill=FF00B0F0 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F6 | value='1736879' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='41' | fill=FF00B0F0 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H6 | value='2353458' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='55.5' | fill=FF00B0F0 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A7 | value='1978' | fill=FF00B050 | rows=[6] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='4216925' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='165899' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='3.9' | fill=FF00B0F0 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F7 | value='1747126' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='41.4' | fill=FF00B0F0 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H7 | value='2303900' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='54.6' | fill=FF00B0F0 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A8 | value='1979' | fill=FF00B050 | rows=[7] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='4149575' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='177306' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='4.3' | fill=FF00B0F0 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F8 | value='1726553' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='41.6' | fill=FF00B0F0 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H8 | value='2245716' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='54.1' | fill=FF00B0F0 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A9 | value='1980' | fill=FF00B050 | rows=[8] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='4142017' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='190394' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='4.6' | fill=FF00B0F0 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F9 | value='1730847' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='41.8' | fill=FF00B0F0 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H9 | value='2220776' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='53.6' | fill=FF00B0F0 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A10 | value='1981' | fill=FF00B050 | rows=[9] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='4018875' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='194890' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='4.8' | fill=FF00B0F0 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F10 | value='1702895' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='42.4' | fill=FF00B0F0 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H10 | value='2121090' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='52.8' | fill=FF00B0F0 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A11 | value='1982' | fill=FF00B050 | rows=[10] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C11 | value='3857590' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='191570' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='5' | fill=FF00B0F0 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F11 | value='1655279' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='42.9' | fill=FF00B0F0 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H11 | value='2010741' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='52.1' | fill=FF00B0F0 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A12 | value='1983' | fill=FF00B050 | rows=[11] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C12 | value='3901497' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='198323' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='5.1' | fill=FF00B0F0 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F12 | value='1699774' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='43.6' | fill=FF00B0F0 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H12 | value='2003400' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='51.3' | fill=FF00B0F0 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A13 | value='1984' | fill=FF00B050 | rows=[12] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C13 | value='4029333' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='211587' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='5.3' | fill=FF00B0F0 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F13 | value='1780459' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='44.2' | fill=FF00B0F0 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H13 | value='2037287' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='50.6' | fill=FF00B0F0 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A14 | value='1985' | fill=FF00B050 | rows=[13] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C14 | value='4138021' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='227384' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='5.5' | fill=FF00B0F0 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F14 | value='1879168' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='45.4' | fill=FF00B0F0 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H14 | value='2031469' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
