=== society-table54.xlsx ===
Cell C1 | value='Country/region' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Men' | fill=FFFFFF00 | rows=[0] | cols=[3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | col_header=True | row_header=False | metadata=False
Cell N1 | value='Women' | fill=FFFFFF00 | rows=[0] | cols=[13, 14, 15, 16, 17, 18, 19, 20, 21, 22] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Trend 1' | fill=FFFFFF00 | rows=[1] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Trend 2' | fill=FFFFFF00 | rows=[1] | cols=[5, 6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Trend 3' | fill=FFFFFF00 | rows=[1] | cols=[7, 8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='Trend 4' | fill=FFFFFF00 | rows=[1] | cols=[9, 10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='Trend 5' | fill=FFFFFF00 | rows=[1] | cols=[11, 12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='Trend 1' | fill=FFFFFF00 | rows=[1] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell P2 | value='Trend 2' | fill=FFFFFF00 | rows=[1] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell R2 | value='Trend 3' | fill=FFFFFF00 | rows=[1] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell T2 | value='Trend 4' | fill=FFFFFF00 | rows=[1] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell V2 | value='Trend 5' | fill=FFFFFF00 | rows=[1] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell D3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
