=== society-table77.xlsx ===
Cell B1 | value='GREAT BRITAIN' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Failure to attend mandatory interview' | fill=FFFFFF00 | rows=[0, 1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Failure to participate in Work Related Activity' | fill=FFFFFF00 | rows=[0, 1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Total' | fill=FF00B0F0 | rows=[0, 1] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell A2 | value='Level' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Outcome' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Appealed Decision' | fill=FF00B050 | rows=[2, 3, 4, 5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='Non-adverse' | fill=FF00B050 | rows=[2] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C3 | value='43' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='41' | fill=9 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='81' | fill=FF00B0F0 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell B4 | value='Adverse' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='35' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='34' | fill=9 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='66' | fill=FF00B0F0 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell B5 | value='Cancelled' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='-' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='-' | fill=9 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='-' | fill=FF00B0F0 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell B6 | value='Total' | fill=FF00B0F0 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C6 | value='77' | fill=FF00B0F0 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D6 | value='73' | fill=FF00B0F0 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E6 | value='148' | fill=FF00B0F0 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell A7 | value='Reconsidered Decision' | fill=FF00B050 | rows=[6, 7, 8, 9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='Non-adverse' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='573' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='4377' | fill=9 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='4951' | fill=FF00B0F0 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell B8 | value='Adverse' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='356' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='2764' | fill=9 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='3127' | fill=FF00B0F0 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell B9 | value='Cancelled' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='6' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='85' | fill=9 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='90' | fill=FF00B0F0 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell B10 | value='Total' | fill=FF00B0F0 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C10 | value='937' | fill=FF00B0F0 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D10 | value='7230' | fill=FF00B0F0 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E10 | value='8165' | fill=FF00B0F0 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=True

=== society-table77.xlsx ===
Cell B1 | value='GREAT BRITAIN' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Failure to attend mandatory interview' | fill=FFFFFF00 | rows=[0, 1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Failure to participate in Work Related Activity' | fill=FFFFFF00 | rows=[0, 1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Total' | fill=FF00B0F0 | rows=[0, 1] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell A2 | value='Level' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
