=== society-table79.xlsx ===
Cell A1 | value='Country/region' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Men' | fill=FFFFFF00 | rows=[0] | cols=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell L1 | value='Women' | fill=FFFFFF00 | rows=[0] | cols=[11, 12, 13, 14, 15, 16, 17, 18, 19, 20] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Trend 1' | fill=FFFFFF00 | rows=[1] | cols=[1, 2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Trend 2' | fill=FFFFFF00 | rows=[1] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Trend 3' | fill=FFFFFF00 | rows=[1] | cols=[5, 6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Trend 4' | fill=FFFFFF00 | rows=[1] | cols=[7, 8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='Trend 5' | fill=FFFFFF00 | rows=[1] | cols=[9, 10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='Trend 1' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell N2 | value='Trend 2' | fill=FFFFFF00 | rows=[1] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell P2 | value='Trend 3' | fill=FFFFFF00 | rows=[1] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell R2 | value='Trend 4' | fill=FFFFFF00 | rows=[1] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell T2 | value='Trend 5' | fill=FFFFFF00 | rows=[1] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell B3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell A4 | value='All countries (n=58)' | fill=FF00B0F0 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B4 | value='1986-1997' | fill=FF00B0F0 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C4 | value='-0.5*' | fill=FF00B0F0 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D4 | value='1997-2001' | fill=FF00B0F0 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E4 | value='3.8*' | fill=FF00B0F0 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=True
