=== welfare-table15.xlsx ===
Cell A1 | value='Selected occupational groups and areas' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='All levels' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Level 4' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Level 5' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Level 6' | fill=FFFFFF00 | rows=[0] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell A3 | value='29-0000 Healthcare Practitioners and Technical Occupations' | fill=FFFFFF00 | rows=[2] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A4 | value='Boston-Cambridge-Nashua, MA-NH' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='57.1' | fill=00000000 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='22.67' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='–' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='32.21' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Chicago-Naperville-Elgin, IL-IN-WI' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='47.39' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='–' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='25.61' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='28.27' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Dallas-Fort Worth-Arlington, TX' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='47.66' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='–' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='–' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
