=== education-table23.xlsx ===
Cell A1 | value='DBN' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='School Name' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='School Type' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Overall Score' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Overall Grade' | fill=FFFFFF00 | rows=[0] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F1 | value='Overall Rank' | fill=FFFFFF00 | rows=[0] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G1 | value='Progress Grade' | fill=FFFFFF00 | rows=[0] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H1 | value='Performance Grade' | fill=FFFFFF00 | rows=[0] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I1 | value='Environment Grade' | fill=FFFFFF00 | rows=[0] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J1 | value='College and Career Readiness Grade' | fill=FFFFFF00 | rows=[0] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K1 | value='Closing the Achievement Gap Points' | fill=FFFFFF00 | rows=[0] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L1 | value='Principal' | fill=FFFFFF00 | rows=[0] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M1 | value='Enrollment' | fill=FFFFFF00 | rows=[0] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N1 | value='% Students with Disabilities' | fill=FFFFFF00 | rows=[0] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O1 | value='% Students in Self-contained Settings' | fill=FFFFFF00 | rows=[0] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P1 | value='% Overage' | fill=FFFFFF00 | rows=[0] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q1 | value='% Free Lunch' | fill=FFFFFF00 | rows=[0] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R1 | value='% Black or Hispanic' | fill=FFFFFF00 | rows=[0] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S1 | value='% ELL' | fill=FFFFFF00 | rows=[0] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T1 | value='8th Gr Math/ELA' | fill=FFFFFF00 | rows=[0] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U1 | value='Peer Index' | fill=FFFFFF00 | rows=[0] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell A2 | value='01M458' | fill=00000000 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=False
