=== employment-table26.xlsx ===
Cell A1 | value='HOUSEHOLD DATA
ANNUAL AVERAGES 
24.  Unemployed persons by marital status, race, Hispanic or Latino ethnicity, age, and sex' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8] | col_header=True | row_header=True | metadata=True
Cell A2 | value='[Numbers in thousands]' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Marital status, race, Hispanic
or Latino ethnicity, and age' | fill=FFFFFF00 | rows=[3, 4, 5] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B4 | value='Men' | fill=00000000 | rows=[3] | cols=[1, 2, 3, 4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='Women' | fill=00000000 | rows=[3] | cols=[5, 6, 7, 8] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Unemployed' | fill=FFFFFF00 | rows=[4] | cols=[1, 2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='Unemployment
rates' | fill=FFFFFF00 | rows=[4] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell F5 | value='Unemployed' | fill=FFFFFF00 | rows=[4] | cols=[5, 6] | col_header=True | row_header=False | metadata=False
Cell H5 | value='Unemployment
rates' | fill=FFFFFF00 | rows=[4] | cols=[7, 8] | col_header=True | row_header=False | metadata=False
Cell B6 | value='2022' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='2023' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='2022' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='2023' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='2022' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='2023' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='2022' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='2023' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Total, 16 years and over' | fill=00000000 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='3218' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='3377' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='3.7' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='3.8' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='2778' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='2702' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='3.6' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='3.5' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Married, spouse present(1)' | fill=00000000 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
