=== employment-table29.xlsx ===
Cell B1 | value='Aggregated and disaggregated subnational public employment' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Unit of measure: Persons' | fill=FF00B0F0 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B3 | value='Time period: 2021' | fill=FF00B0F0 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B4 | value='Combined measure: Subnational public employees' | fill=FF00B0F0 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B6 | value='Sex' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='Female' | fill=FF0549AB | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='Male' | fill=FF0549AB | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='Total' | fill=FF0549AB | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Reference area: Austria' | fill=FFB7DEF6 | rows=[7] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Institutional sector: State government' | fill=FFB7DEF6 | rows=[8] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='192617' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Reference area: Belgium' | fill=FFB7DEF6 | rows=[10] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Institutional sector: Intermediate government' | fill=FFB7DEF6 | rows=[11] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C13 | value='9287' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='6574' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='15861' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
