=== employment-table30.xlsx ===
Cell B1 | value='North East' | fill=9 | rows=[0] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D1 | value='North West' | fill=9 | rows=[0] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F1 | value='Yorkshire and the Humber' | fill=9 | rows=[0] | cols=[5, 6] | col_header=False | row_header=False | metadata=False
Cell H1 | value='East Midlands' | fill=9 | rows=[0] | cols=[7, 8] | col_header=False | row_header=False | metadata=False
Cell J1 | value='West Midlands' | fill=9 | rows=[0] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L1 | value='East of England' | fill=9 | rows=[0] | cols=[11, 12] | col_header=False | row_header=False | metadata=False
Cell N1 | value='London' | fill=9 | rows=[0] | cols=[13, 14] | col_header=False | row_header=False | metadata=False
Cell P1 | value='South East' | fill=9 | rows=[0] | cols=[15, 16] | col_header=False | row_header=False | metadata=False
Cell R1 | value='South West' | fill=9 | rows=[0] | cols=[17, 18] | col_header=False | row_header=False | metadata=False
Cell T1 | value='England' | fill=9 | rows=[0] | cols=[19, 20] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Sub-sector' | fill=FFFFFF00 | rows=[2] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B3 | value='2005' | fill=9 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='2009' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='2005' | fill=9 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='2009' | fill=9 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='2005' | fill=9 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='2009' | fill=9 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='2005' | fill=9 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='2009' | fill=9 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='2005' | fill=9 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='2009' | fill=9 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='2005' | fill=9 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='2009' | fill=9 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='2005' | fill=9 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='2009' | fill=9 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='2005' | fill=9 | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='2009' | fill=9 | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='2005' | fill=9 | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='2009' | fill=9 | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T3 | value='2005' | fill=9 | rows=[2] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U3 | value='2009' | fill=9 | rows=[2] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A4 | value='Advertising' | fill=9 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='8.18181818181818' | fill=9 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='4.225' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='5.68502024291498' | fill=9 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='7.04366197183099' | fill=9 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='4.66944444444444' | fill=9 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='4.97610062893082' | fill=9 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='4.1376' | fill=9 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='4.11386861313869' | fill=9 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='4.76923076923077' | fill=9 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='4.63060109289617' | fill=9 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='4.19824561403509' | fill=9 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='4.28401486988848' | fill=9 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='9.12361111111111' | fill=9 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='10.0881313131313' | fill=9 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='8.85920745920746' | fill=9 | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='6.00934959349594' | fill=9 | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='7.26966292134831' | fill=9 | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='4.14095238095238' | fill=9 | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='7.1856450902686' | fill=9 | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='6.73413127413127' | fill=9 | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Architecture' | fill=9 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='7.0578313253012' | fill=9 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='4.43686956521739' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='4.75671514114628' | fill=9 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='4.19161174355902' | fill=9 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='5.85419532324622' | fill=9 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='6.03616071428571' | fill=9 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='4.54391534391534' | fill=9 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='4.34553376906318' | fill=9 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='4.51612223393045' | fill=9 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='6.4461270670148' | fill=9 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
