=== employment-table31.xlsx ===
Cell A1 | value='Number of tables on this sheet:' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell D1 | value='4' | fill=9 | rows=[0] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Employment in the CASE sectors' | fill=FF00B0F0 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Data owner:' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C4 | value='Office of National Statistics' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Link to data owner:' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C5 | value='http://www.ons.gov.uk' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Data source:' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C6 | value='Annual Population Survey' | fill=9 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Link to data source:' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C7 | value='http://www.statistics.gov.uk/Statbase/Product.asp?vlnk=10855' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Date:' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C8 | value='2006, 2007, 2008' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Update cycle:' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C9 | value='Quarterly' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Employment in the CASE sectors: sector by region in 2006 and 2008' | fill=FF00B0F0 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B13 | value='East Midlands' | fill=9 | rows=[12] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='East of England' | fill=9 | rows=[12] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='London' | fill=9 | rows=[12] | cols=[5, 6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='North East' | fill=9 | rows=[12] | cols=[7, 8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='North West' | fill=9 | rows=[12] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='South East' | fill=9 | rows=[12] | cols=[11, 12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='South West' | fill=9 | rows=[12] | cols=[13, 14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='West Midlands' | fill=9 | rows=[12] | cols=[15, 16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='Yorkshire and the Humber' | fill=9 | rows=[12] | cols=[17, 18] | col_header=False | row_header=False | metadata=False
Cell T13 | value='England' | fill=9 | rows=[12] | cols=[19, 20] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Sector' | fill=FFFFFF00 | rows=[13] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B14 | value='2006' | fill=9 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='2008' | fill=9 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='2006' | fill=9 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='2008' | fill=9 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='2006' | fill=9 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='2008' | fill=9 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='2006' | fill=9 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='2008' | fill=9 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='2006' | fill=9 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='2008' | fill=9 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='2006' | fill=9 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='2008' | fill=9 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='2006' | fill=9 | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='2008' | fill=9 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='2006' | fill=9 | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='2008' | fill=9 | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='2006' | fill=9 | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S14 | value='2008' | fill=9 | rows=[13] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T14 | value='2006' | fill=9 | rows=[13] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U14 | value='2008' | fill=9 | rows=[13] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Creative' | fill=9 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='87842.8603848929' | fill=9 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='85406.0615603345' | fill=9 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='138251.413145119' | fill=9 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='133419.725319473' | fill=9 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='451787.868801883' | fill=9 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='458666.999869109' | fill=9 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='44162.5694752818' | fill=9 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='42607.4541766872' | fill=9 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='145026.400546636' | fill=9 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='141727.35877145' | fill=9 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='251488.008396321' | fill=9 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='257285.339936305' | fill=9 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
