=== environment-table19.xlsx ===
Cell A1 | value='Table 3 Scientific procedures by species of animal, primary purpose and genetic status' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A4 | value='Great Britain 2011' | fill=00000000 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell F4 | value='Number of procedures' | fill=FFFFFF00 | rows=[3] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell A5 | value='Species of animal' | fill=FFFFFF00 | rows=[4] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B5 | value='Primary purpose of procedure' | fill=FFFFFF00 | rows=[4, 5] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C5 | value='Genetic status' | fill=FFFFFF00 | rows=[4] | cols=[2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell F5 | value='Total' | fill=7 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C6 | value='Normal animal' | fill=43 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='Animal with harmful genetic defect' | fill=43 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='Genetically modified animal' | fill=43 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Mouse' | fill=43 | rows=[6, 7, 8, 9, 10, 11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Fundamental biological research' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='338273' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='51767' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='474142' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='864182' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Applied studies' | fill=47 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='262283' | fill=47 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='39139' | fill=47 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='31494' | fill=47 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='332916' | fill=47 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Safety' | fill=00000000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='17591' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='0' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='185' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='17776' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Other  uses' | fill=47 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='3555' | fill=47 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='0' | fill=47 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='1781' | fill=47 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='5336' | fill=47 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Breeding of GM or HM' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='207155' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='231612' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='1020786' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='1459553' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Total' | fill=43 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='828857' | fill=43 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
