=== environment-table29.xlsx ===
Cell A1 | value='Table 15: Scientific procedures (toxicology) by species of animal and type of toxicological test: safety testing of pharmaceuticals' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A2 | value='Great Britain 2011' | fill=00000000 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell K2 | value='Number of procedures' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Species of animal' | fill=FFFFFF00 | rows=[2] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B3 | value='Type of toxicological test or procedure' | fill=FFFFFF00 | rows=[2] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell B4 | value='Acute lethal
toxicity' | fill=43 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='Acute lethal
concentration' | fill=43 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='Acute limit setting' | fill=43 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='Acute non - lethal clinical sign' | fill=43 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='Subacute limit-setting or dose ranging' | fill=43 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='Subacute toxicity' | fill=43 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='Subchronic and chronic' | fill=43 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='Carcinogenicity' | fill=43 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='Genetic toxicology (includes mutagenicity)' | fill=43 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='Teratogenicity' | fill=43 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Mouse' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='78461' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='0' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='1158' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='11406' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='3246' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='3228' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='1489' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='990' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='1048' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='355' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Rat' | fill=47 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='-' | fill=47 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='0' | fill=47 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='220' | fill=47 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='2217' | fill=47 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='6449' | fill=47 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='11287' | fill=47 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='8205' | fill=47 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='1512' | fill=47 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='4051' | fill=47 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='2621' | fill=47 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A7 | value='All other rodents' | fill=00000000 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='-' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='0' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='-' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='38' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='-' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='40' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='96' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='-' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='-' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='-' | fill=00000000 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Rabbit' | fill=47 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='-' | fill=47 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='0' | fill=47 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='-' | fill=47 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='8' | fill=47 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='59' | fill=47 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='102' | fill=47 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='64' | fill=47 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='-' | fill=47 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
