=== environment-table38.xlsx ===
Cell A1 | value='Forest Type' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Fire' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Replicate' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Season' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Year' | fill=FFFFFF00 | rows=[0] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F1 | value='% Cover Herbaceous Vegetation' | fill=FFFFFF00 | rows=[0] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell A2 | value='Mixed conifer' | fill=00000000 | rows=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B2 | value='Burn' | fill=00000000 | rows=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='1' | fill=00000000 | rows=[1, 2, 3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='Fall' | fill=00000000 | rows=[1, 2, 3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='2012' | fill=00000000 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='3.66666666666667' | fill=00000000 | rows=[1] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E3 | value='2013' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='39.6666666666667' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E4 | value='2014' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='95' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
