=== science-table60.xlsx ===
Cell D1 | value='CD40' | fill=00000000 | rows=[0] | cols=[3, 4, 5, 6, 7, 8, 9, 10] | col_header=False | row_header=False | metadata=False
Cell M1 | value='b-actin' | fill=00000000 | rows=[0] | cols=[12, 13, 14, 15, 16, 17, 18, 19] | col_header=False | row_header=False | metadata=False
Cell D2 | value='Expt1' | fill=00000000 | rows=[1] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell G2 | value='Expt2' | fill=00000000 | rows=[1] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell J2 | value='Expt3' | fill=00000000 | rows=[1] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell M2 | value='Expt1' | fill=00000000 | rows=[1] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell P2 | value='Expt2' | fill=00000000 | rows=[1] | cols=[15, 16] | col_header=False | row_header=False | metadata=False
Cell S2 | value='Expt3' | fill=00000000 | rows=[1] | cols=[18, 19] | col_header=False | row_header=False | metadata=False
Cell D3 | value='repli1' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='repli2' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G3 | value='repli1' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='repli2' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J3 | value='repli1' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='repli2' | fill=00000000 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell M3 | value='repli1' | fill=00000000 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='repli2' | fill=00000000 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P3 | value='repli1' | fill=00000000 | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='repli2' | fill=00000000 | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell S3 | value='repli1' | fill=00000000 | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T3 | value='repli2' | fill=00000000 | rows=[2] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell D4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell G4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell J4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell M4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell P4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell S4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T4 | value='ct' | fill=FFFFFF00 | rows=[3] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell A5 | value='Set1' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='uninf' | fill=00000000 | rows=[4, 5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='DC -siRNA - TNF' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='20.307409286499' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='20.7081680297852' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G5 | value='24.632360458374' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='24.5796222686768' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J5 | value='24.9282093048096' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='24.6345710754395' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell M5 | value='15.3823328018188' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='15.7363128662109' | fill=00000000 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P5 | value='13.8834295272827' | fill=00000000 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='13.7475385665894' | fill=00000000 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell S5 | value='13.8056783676147' | fill=00000000 | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='13.8482885360718' | fill=00000000 | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Set2' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C6 | value='DC -siRNA + TNF' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
