=== science-table69.xlsx ===
Cell C1 | value='Uninf' | fill=00000000 | rows=[0] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1 | value='Infected' | fill=00000000 | rows=[0] | cols=[3, 4, 5, 6, 7, 8, 9] | col_header=False | row_header=False | metadata=False
Cell C2 | value='no DC Trnf' | fill=00000000 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='no DC Trnf' | fill=00000000 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='DC + PBS' | fill=00000000 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='DC + SAG' | fill=00000000 | rows=[1] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G2 | value='DC (Ctrl siRNA) + SAG' | fill=00000000 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H2 | value='DC (Runx1+3 siRNA) + SAG' | fill=00000000 | rows=[1] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I2 | value='DC (Runx1+3 siRNA + Vec) + SAG' | fill=00000000 | rows=[1] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J2 | value='DC (Runx1+3 siRNA + CD40) + SAG' | fill=00000000 | rows=[1] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell C3 | value='Set1' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='Set2' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='Set3' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='Set4' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='Set5' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='Set6' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='Set7' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='Set8' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A4 | value='Expt-1' | fill=00000000 | rows=[3, 4, 5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Replicate1' | fill=3 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='0.055' | fill=3 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='4.17' | fill=3 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='3.32' | fill=3 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='0.5' | fill=3 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='0.38' | fill=3 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='4.49' | fill=3 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='2.84' | fill=3 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='0.4' | fill=3 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Replicate2' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='0.13' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='3.69' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='1.03' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='0.15' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='0.19' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='4.11' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='2.65' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='0.3' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Replicate3' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='0.86' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='2.23' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='1.9' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='1.11' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='1.6' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='1.28' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='1.62' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='1.73' | fill=00000000 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Expt-2' | fill=00000000 | rows=[6, 7, 8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Replicate1' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='1.02' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='2.12' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='1.29' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='0.71' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='0.97' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='2.77' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='1.96' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='0.88' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Replicate2' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='1.6' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='3.24' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='3.29' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='0.75' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='1.46' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='3.02' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='1.97' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='1.73' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Replicate3' | fill=00000000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='0.66' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='2.48' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='2.95' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='1.59' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='1.56' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='2.47' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='2.15' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='1.35' | fill=00000000 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
