=== society-table28.xlsx ===
Cell A1 | value='Number and Share of Lives Saved by Mitigation Strategy' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell B2 | value='293' | fill=00000000 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='301' | fill=00000000 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='302' | fill=00000000 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='303' | fill=00000000 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='304' | fill=00000000 | rows=[1] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G2 | value='305' | fill=00000000 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H2 | value='306' | fill=00000000 | rows=[1] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I2 | value='307' | fill=00000000 | rows=[1] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J2 | value='308' | fill=00000000 | rows=[1] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K2 | value='309' | fill=00000000 | rows=[1] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L2 | value='310' | fill=00000000 | rows=[1] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M2 | value='311' | fill=00000000 | rows=[1] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N2 | value='312' | fill=00000000 | rows=[1] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O2 | value='313' | fill=00000000 | rows=[1] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P2 | value='314' | fill=00000000 | rows=[1] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q2 | value='315' | fill=00000000 | rows=[1] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R2 | value='316' | fill=00000000 | rows=[1] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S2 | value='317' | fill=00000000 | rows=[1] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T2 | value='318' | fill=00000000 | rows=[1] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U2 | value='319' | fill=00000000 | rows=[1] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V2 | value='320' | fill=00000000 | rows=[1] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W2 | value='321' | fill=00000000 | rows=[1] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X2 | value='322' | fill=00000000 | rows=[1] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y2 | value='323' | fill=00000000 | rows=[1] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z2 | value='324' | fill=00000000 | rows=[1] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA2 | value='325' | fill=00000000 | rows=[1] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB2 | value='326' | fill=00000000 | rows=[1] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC2 | value='327' | fill=00000000 | rows=[1] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD2 | value='328' | fill=00000000 | rows=[1] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE2 | value='329' | fill=00000000 | rows=[1] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF2 | value='330' | fill=00000000 | rows=[1] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG2 | value='331' | fill=00000000 | rows=[1] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH2 | value='332' | fill=00000000 | rows=[1] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI2 | value='333' | fill=00000000 | rows=[1] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ2 | value='334' | fill=00000000 | rows=[1] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK2 | value='335' | fill=00000000 | rows=[1] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL2 | value='336' | fill=00000000 | rows=[1] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM2 | value='337' | fill=00000000 | rows=[1] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN2 | value='338' | fill=00000000 | rows=[1] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO2 | value='339' | fill=00000000 | rows=[1] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP2 | value='340' | fill=00000000 | rows=[1] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ2 | value='341' | fill=00000000 | rows=[1] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR2 | value='342' | fill=00000000 | rows=[1] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS2 | value='343' | fill=00000000 | rows=[1] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT2 | value='344' | fill=00000000 | rows=[1] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU2 | value='345' | fill=00000000 | rows=[1] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV2 | value='346' | fill=00000000 | rows=[1] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW2 | value='347' | fill=00000000 | rows=[1] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX2 | value='348' | fill=00000000 | rows=[1] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY2 | value='349' | fill=00000000 | rows=[1] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ2 | value='350' | fill=00000000 | rows=[1] | cols=[51] | col_header=False | row_header=False | metadata=False
