=== society-table30.xlsx ===
Cell A1 | value='MNCH Interventions by Target Population - As organized in this Model' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell C2 | value='Int#' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Int# in LiST' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Family Planning' | fill=9 | rows=[2, 3, 4, 5, 6, 7, 8, 9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='FP - Pills' | fill=9 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='1' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='7' | fill=9 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B4 | value='FP - Condoms' | fill=9 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='2' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='1' | fill=9 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B5 | value='FP - Injectables' | fill=9 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='3' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='4' | fill=9 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B6 | value='FP - Implants' | fill=9 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='4' | fill=9 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='5' | fill=9 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B7 | value='FP - IUD' | fill=9 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='5' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='6' | fill=9 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B8 | value='FP - Female Sterilization' | fill=9 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='6' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='2' | fill=9 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B9 | value='FP - Male Sterilization' | fill=9 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='7' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='3' | fill=9 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B10 | value='FP - Traditional Methods' | fill=9 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='8' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='8' | fill=9 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Antenatal Care' | fill=5 | rows=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Antenatal care (at least 1 visit)' | fill=5 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='9' | fill=5 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='14' | fill=5 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Antenatal care (at least 4 visits)' | fill=5 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='10' | fill=5 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='15' | fill=5 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B13 | value='TT - Tetanus toxoid vaccination' | fill=5 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='11' | fill=5 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='16' | fill=5 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B14 | value='IPTp - Intermittent preventive treatment of malaria during pregnancy' | fill=5 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='12' | fill=5 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='17' | fill=5 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
