=== society-table36.xlsx ===
Cell A1 | value='In addition needed: number of pregnancies and births' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A2 | value='Paste Total Pregnancies from FamPlan module, Results/Demographic Events/Pregnancies in cell Q26 below' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A3 | value='Pregnancies' | fill=00000000 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Model with mitigation' | fill=FFFFFF00 | rows=[3] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell A5 | value='2019' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='1062160' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A6 | value='2020' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='1562943' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A7 | value='2021' | fill=00000000 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='1517733' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Paste Total Births from FamPlan module, Results/Demographic Events/Births in cell Q33 below' | fill=FF00B0F0 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A10 | value='Births' | fill=00000000 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Model with mitigation' | fill=FFFFFF00 | rows=[10] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell A12 | value='2019' | fill=00000000 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='695873' | fill=None | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='0.655148941779016' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A13 | value='2020' | fill=00000000 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='991970' | fill=None | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='0.63468085528391' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A14 | value='2021' | fill=00000000 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='968611' | fill=None | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='0.638195914564683' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False

