=== society-table46.xlsx ===
Cell D1 | value='Risk-Benefit Results' | fill=FF00B0F0 | rows=[0] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A2 | value='HIDDEN' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A3 | value='Selected' | fill=FFFFFF00 | rows=[2] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B3 | value='Int#' | fill=FFFFFF00 | rows=[2] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C3 | value='Int# in LiST' | fill=FFFFFF00 | rows=[2] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell H3 | value='Lives Saved through Mitigation Measures' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='Lives Lost through Added COVID Infections' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='Benefit-Risk Ratio' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell A4 | value='x' | fill=00000000 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='0' | fill=9 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='0' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='Family Planning' | fill=9 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='Contraceptive Use' | fill=9 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H4 | value='7' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='-6.35338058257318' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='1.1017756466849231' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A5 | value='x' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='9' | fill=5 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='14' | fill=5 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='Antenatal Care' | fill=5 | rows=[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='Antenatal care (at least 1 visit)' | fill=5 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H5 | value='0' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='-2.2800157013136' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='0' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A6 | value='x' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='10' | fill=5 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='15' | fill=5 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E6 | value='Antenatal care (at least 4 visits)' | fill=5 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H6 | value='0' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='-10.036240628467' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='0' | fill=00000000 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A7 | value='x' | fill=00000000 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='11' | fill=5 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='16' | fill=5 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E7 | value='TT - Tetanus toxoid vaccination' | fill=5 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H7 | value='81' | fill=7 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='-3.70335482961572' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='21.872060260670455' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A8 | value='x' | fill=00000000 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='12' | fill=5 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='17' | fill=5 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E8 | value='IPTp - Intermittent preventive treatment of malaria during pregnancy' | fill=5 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H8 | value='0' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='0' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='NA' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A9 | value='x' | fill=00000000 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='13' | fill=5 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='18' | fill=5 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E9 | value='Syphilis detection and treatment' | fill=5 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H9 | value='0' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='-1.07190815946173' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='0' | fill=00000000 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B10 | value='14' | fill=5 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='19' | fill=5 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E10 | value='Calcium supplementation' | fill=5 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H10 | value='0' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='0' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='NA' | fill=00000000 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A11 | value='x' | fill=00000000 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='15' | fill=5 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='20' | fill=5 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E11 | value='Iron supplementation in pregnancy' | fill=5 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H11 | value='0' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='0' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='NA' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A12 | value='x' | fill=00000000 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='16' | fill=5 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='21' | fill=5 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E12 | value='Multiple micronutrient supplementation in pregnancy' | fill=5 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H12 | value='0' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='0' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='NA' | fill=00000000 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A13 | value='x' | fill=00000000 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='17' | fill=5 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='22' | fill=5 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E13 | value='Balanced energy supplementation' | fill=5 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H13 | value='0' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='0' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='NA' | fill=00000000 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
