=== society-table51.xlsx ===
Cell A1 | value='Supplementary Table 1. Lithospheric thickness for global kimberlites and lamproites' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A3 | value='locality' | fill=FFFFFF00 | rows=[2] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B3 | value='lithology' | fill=FFFFFF00 | rows=[2] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C3 | value='country' | fill=FFFFFF00 | rows=[2] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D3 | value='position' | fill=FFFFFF00 | rows=[2] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='craton' | fill=FFFFFF00 | rows=[2] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='age' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='mantle olivine' | fill=FFFFFF00 | rows=[2] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='magmatic olivine' | fill=FFFFFF00 | rows=[2] | cols=[8, 9] | col_header=True | row_header=False | metadata=False
Cell K3 | value='olivine references' | fill=FFFFFF00 | rows=[2] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L3 | value='Xenlith-based Lithospheric thickness' | fill=FFFFFF00 | rows=[2] | cols=[11, 12, 13] | col_header=True | row_header=False | metadata=False
Cell O3 | value='Present day seismic lithospheric thickness' | fill=FFFFFF00 | rows=[2] | cols=[14, 15] | col_header=True | row_header=False | metadata=False
Cell F4 | value='Ma' | fill=FFFFFF00 | rows=[3] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G4 | value='Mg#' | fill=FFFFFF00 | rows=[3] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell I4 | value='Mg#' | fill=FFFFFF00 | rows=[3] | cols=[8, 9] | col_header=True | row_header=False | metadata=False
Cell L4 | value='km' | fill=FFFFFF00 | rows=[3] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M4 | value='Employed Method' | fill=FFFFFF00 | rows=[3] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N4 | value='reference' | fill=FFFFFF00 | rows=[3] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O4 | value='km' | fill=FFFFFF00 | rows=[3] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P4 | value='reference' | fill=FFFFFF00 | rows=[3] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell G5 | value='mean' | fill=FFFFFF00 | rows=[4] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H5 | value='st dev' | fill=FFFFFF00 | rows=[4] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I5 | value='mean' | fill=FFFFFF00 | rows=[4] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J5 | value='st dev' | fill=FFFFFF00 | rows=[4] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell A6 | value='SOUTH AFRICA LAMPROITES (ORANGEITES)' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Finsch' | fill=00000000 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
