=== society-table69.xlsx ===
Cell B1 | value='GREAT BRITAIN' | fill=9 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1 | value='Month' | fill=FFFFFF00 | rows=[0] | cols=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14] | col_header=True | row_header=False | metadata=False
Cell A2 | value='Level' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Reason' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Oct-12 2' | fill=22 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='2012-11-01 00:00:00' | fill=22 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='2012-12-01 00:00:00' | fill=22 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='2013-01-01 00:00:00' | fill=22 | rows=[1] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G2 | value='2013-02-01 00:00:00' | fill=22 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H2 | value='2013-03-01 00:00:00' | fill=22 | rows=[1] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I2 | value='2013-04-01 00:00:00' | fill=22 | rows=[1] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J2 | value='2013-05-01 00:00:00' | fill=22 | rows=[1] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K2 | value='2013-06-01 00:00:00' | fill=22 | rows=[1] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L2 | value='2013-07-01 00:00:00' | fill=22 | rows=[1] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M2 | value='2013-08-01 00:00:00' | fill=22 | rows=[1] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N2 | value='2013-09-01 00:00:00' | fill=22 | rows=[1] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O2 | value='Total' | fill=22 | rows=[1] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Low' | fill=9 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='Voluntarily leaves a place on a training scheme or employment programme without good reason' | fill=9 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='-' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='5' | fill=9 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='-' | fill=9 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='-' | fill=9 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='5' | fill=9 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='-' | fill=9 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='-' | fill=9 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='7' | fill=9 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='-' | fill=9 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='6' | fill=9 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='-' | fill=9 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='6' | fill=9 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='34' | fill=9 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Losing through misconduct a place on a training scheme or employment programme' | fill=9 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='-' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='-' | fill=9 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='-' | fill=9 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='-' | fill=9 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='-' | fill=9 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='-' | fill=9 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='-' | fill=9 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='-' | fill=9 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='5' | fill=9 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='-' | fill=9 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='-' | fill=9 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='7' | fill=9 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='18' | fill=9 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Refusal of a place on a training scheme or employment programme without good reason' | fill=9 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='-' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='-' | fill=9 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='-' | fill=9 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='-' | fill=9 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='-' | fill=9 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='-' | fill=9 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='-' | fill=9 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='-' | fill=9 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='6' | fill=9 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='-' | fill=9 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='-' | fill=9 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='-' | fill=9 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='16' | fill=9 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Neglect to avail themselves of a reasonable opportunity of a place on a training scheme or employment programme without good reason' | fill=9 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='-' | fill=9 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='-' | fill=9 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='-' | fill=9 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='-' | fill=9 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='6' | fill=9 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='-' | fill=9 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='-' | fill=9 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='-' | fill=9 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='-' | fill=9 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='-' | fill=9 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='-' | fill=9 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='-' | fill=9 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='12' | fill=9 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Failure to attend a place on a training scheme or employment programme without good reason' | fill=9 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='8' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='30' | fill=9 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='31' | fill=9 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='26' | fill=9 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='27' | fill=9 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='48' | fill=9 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='34' | fill=9 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='27' | fill=9 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='22' | fill=9 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='56' | fill=9 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='32' | fill=9 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='31' | fill=9 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='379' | fill=9 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Failure to attend or failure to participate in an Adviser interview without good reason' | fill=9 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='7732' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='17938' | fill=9 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='13683' | fill=9 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='16195' | fill=9 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='14104' | fill=9 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='12114' | fill=9 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='12230' | fill=9 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='11972' | fill=9 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='10334' | fill=9 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='12697' | fill=9 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='12203' | fill=9 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='10922' | fill=9 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='152123' | fill=9 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Refusal or failure to comply with a Jobseeker's Direction without good reason' | fill=9 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='964' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='2395' | fill=9 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='1830' | fill=9 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='1889' | fill=9 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='2099' | fill=9 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='2528' | fill=9 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='2462' | fill=9 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='2304' | fill=9 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='1948' | fill=9 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='3081' | fill=9 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='2777' | fill=9 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='2823' | fill=9 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='27098' | fill=9 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Failure to participate in a scheme for assisting person to obtain employment without good reason - Work Programme' | fill=9 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='7234' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='20681' | fill=9 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='17037' | fill=9 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='19762' | fill=9 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='10097' | fill=9 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='13215' | fill=9 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='22651' | fill=9 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='26377' | fill=9 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='24262' | fill=9 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='28967' | fill=9 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='25255' | fill=9 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='27438' | fill=9 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='242973' | fill=9 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Failure to participate in a scheme for assisting person to obtain employment without good reason - Skills Conditionality' | fill=9 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='350' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='1128' | fill=9 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
