=== society-table76.xlsx ===
Cell C1 | value='All Individuals receiving an adverse sanction decision' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell B2 | value='GREAT BRITAIN' | fill=9 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='14601' | fill=00000000 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Age Group' | fill=9 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='16-17 years of age' | fill=9 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='-' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B4 | value='18-24 years of age' | fill=9 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='1649' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B5 | value='25-29  years of age' | fill=9 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='1683' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B6 | value='30-34  years of age' | fill=9 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='1872' | fill=9 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B7 | value='35-39  years of age' | fill=9 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='1903' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B8 | value='40-44 years of age' | fill=9 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='2271' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B9 | value='45-49 years of age' | fill=9 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='2158' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
