=== society-table78.xlsx ===
Cell A1 | value='Table 2. The pooled age-standardized musculoskeletal disorders mortality rates (95% CI) per million person-years and women to men rate ratio (95% CI), 1986-2011' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20] | col_header=True | row_header=True | metadata=True
Cell B2 | value='Region' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Men' | fill=00000000 | rows=[1] | cols=[2, 3, 4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='Women' | fill=00000000 | rows=[1] | cols=[5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell I2 | value='Women to men rate ratio' | fill=FFFFFF00 | rows=[1] | cols=[8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell C3 | value='rate' | fill=FFFFFF00 | rows=[2] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D3 | value='Lower bound' | fill=FFFFFF00 | rows=[2] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='Upper bound' | fill=FFFFFF00 | rows=[2] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='rate' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='Lower bound' | fill=FFFFFF00 | rows=[2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='Upper bound' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='Value' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='Lower bound' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K3 | value='Upper bound' | fill=FFFFFF00 | rows=[2] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell B4 | value='Asia' | fill=00000000 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='15.98' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='15.85' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='16.12' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='24.04' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='23.89' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='24.19' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='1.50404208861617' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='1.48825409103671' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='1.5199975716197' | fill=00000000 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Hong Kong SAR' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='8.86' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='8.25' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
