=== transport-table08.xlsx ===
Cell A1 | value='Department for Transport statistics' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A2 | value='Accessibility Statistics (http://www.dft.gov.uk/statistics/series/accessibility/)' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A3 | value='Table ACS0219' | fill=FF00B0F0 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A4 | value='At risk user1 with access to key services within lower2 and upper2 threshold by composite mode3, region, England, 2007 to 2013' | fill=FF00B0F0 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell R5 | value='Number/Percentage' | fill=FF00B0F0 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell C6 | value='Key services' | fill=FFFFFF00 | rows=[5] | cols=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=True | row_header=False | metadata=False
Cell C7 | value='Employment' | fill=9 | rows=[6] | cols=[2, 3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='Primary school' | fill=9 | rows=[6] | cols=[4, 5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='Secondary school' | fill=9 | rows=[6] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='Further Education4' | fill=9 | rows=[6] | cols=[8, 9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='GP' | fill=9 | rows=[6] | cols=[10, 11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='Hospital' | fill=9 | rows=[6] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='Food store' | fill=9 | rows=[6] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='Town Centres' | fill=9 | rows=[6] | cols=[16, 17] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Year' | fill=FFFFFF00 | rows=[7] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B8 | value='Region' | fill=FFFFFF00 | rows=[7] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q8 | value='Lower threshold2' | fill=FFFFFF00 | rows=[7] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R8 | value='Upper threshold2' | fill=FFFFFF00 | rows=[7] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell A9 | value='Number of people with access within threshold' | fill=FFFFFF00 | rows=[8] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A10 | value='2007' | fill=9 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='North East' | fill=9 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='48200' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='48600' | fill=9 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='..' | fill=9 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='..' | fill=9 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='26900' | fill=9 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='28100' | fill=9 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='..' | fill=9 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='..' | fill=9 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='..' | fill=9 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='..' | fill=9 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='..' | fill=9 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='..' | fill=9 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='387800' | fill=9 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='391700' | fill=9 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='..' | fill=9 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='..' | fill=9 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B11 | value='North West' | fill=9 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='107900' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='108900' | fill=9 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
