=== economy-table109.xlsx ===
Cell A1 | value='RSDI Improper Payments Experience FY 2007 – FY 2017' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] | col_header=True | row_header=True | metadata=True
Cell A2 | value='($ in millions)' | fill=FF00B0F0 | rows=[1] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] | col_header=False | row_header=False | metadata=True
Cell B3 | value='FY 2007' | fill=FFFFFF00 | rows=[2] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C3 | value='FY 2008' | fill=FFFFFF00 | rows=[2] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D3 | value='FY 2009' | fill=FFFFFF00 | rows=[2] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='FY 2010' | fill=FFFFFF00 | rows=[2] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='FY 2011' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='FY 2012' | fill=FFFFFF00 | rows=[2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='FY 2013' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='FY 2014' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='FY 2015' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K3 | value='FY 2016' | fill=FFFFFF00 | rows=[2] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L3 | value='FY 2017' | fill=FFFFFF00 | rows=[2] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell A4 | value='Total Payments' | fill=FFFFFF00 | rows=[3] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A5 | value='Dollars' | fill=FF00B050 | rows=[4, 5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='576800' | fill=00000000 | rows=[4, 5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='607210' | fill=00000000 | rows=[4, 5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='659565' | fill=00000000 | rows=[4, 5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='695469' | fill=00000000 | rows=[4, 5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='716951' | fill=00000000 | rows=[4, 5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='770288' | fill=00000000 | rows=[4, 5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='824191' | fill=00000000 | rows=[4, 5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='862719' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='853689.44' | fill=00000000 | rows=[4, 5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='911200.29' | fill=00000000 | rows=[4, 5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='910009.54' | fill=00000000 | rows=[4, 5] | cols=[11] | col_header=False | row_header=False | metadata=False
