=== economy-table25.xlsx ===
Cell B1 | value='Annual national disposable income, US $, volume, constant PPPs' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B2 | value='Institutional sector: Total economy' | fill=FF00B0F0 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B3 | value='Counterpart institutional sector: Total economy' | fill=FF00B0F0 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B4 | value='Transaction: Disposable income, net' | fill=FF00B0F0 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B6 | value='Time period' | fill=FF00B050 | rows=[5] | cols=[1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E6 | value='2014' | fill=FF0549AB | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='2015' | fill=FF0549AB | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='2016' | fill=FF0549AB | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='2017' | fill=FF0549AB | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='2018' | fill=FF0549AB | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='2019' | fill=FF0549AB | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='2020' | fill=FF0549AB | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='2021' | fill=FF0549AB | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='2022' | fill=FF0549AB | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='2023' | fill=FF0549AB | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Reference area' | fill=FFFFFF00 | rows=[6] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C7 | value='Combined unit of measure' | fill=FFFFFF00 | rows=[6] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell B8 | value='Australia' | fill=FFE2F2FB | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='US dollars, PPP converted, Chain linked volume (rebased), 2020, Millions' | fill=FFE2F2FB | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E8 | value='990171.932' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='986788.377' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='1040399.893' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='1071493.139' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
