=== sport-table06.xlsx ===
Cell A1 | value='Group Stage' | fill=FFFFFF00 | rows=[0, 1] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=True | metadata=False
Cell G1 | value='Predicted' | fill=FFFFFF00 | rows=[0] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell I1 | value='Actual Results' | fill=FFFFFF00 | rows=[0, 1] | cols=[8, 9, 10, 11] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Winner' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell A3 | value='1' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='USA' | fill=FFFFFFFF | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='1' | fill=FFFFFFCC | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='3' | fill=FFFFFFCC | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='Colombia' | fill=FFFFFFFF | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G3 | value='Colombia' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I3 | value='USA' | fill=FFFFFFFF | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='0' | fill=FFFFFFCC | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='2' | fill=FFFFFFCC | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='Colombia' | fill=FFFFFFFF | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A4 | value='2' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='Costa Rica' | fill=FFFFFFFF | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='1' | fill=FFFFFFCC | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='3' | fill=FFFFFFCC | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='Paraguay' | fill=FFFFFFFF | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G4 | value='Paraguay' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I4 | value='Costa Rica' | fill=FFFFFFFF | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='0' | fill=FFFFFFCC | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='0' | fill=FFFFFFCC | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='Paraguay' | fill=FFFFFFFF | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A5 | value='3' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='Haiti' | fill=FFFFFFFF | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='0' | fill=FFFFFFCC | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='2' | fill=FFFFFFCC | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='Peru' | fill=FFFFFFFF | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G5 | value='Peru' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
