=== economy-table17.xlsx ===
Cell A1 | value='SPENDING' | fill=FFFFFF00 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=True | row_header=True | metadata=False
Cell L1 | value='RESULTS' | fill=FFFFFF00 | rows=[0] | cols=[11, 12, 13] | col_header=True | row_header=False | metadata=False
Cell P1 | value='PEOPLE' | fill=FFFFFF00 | rows=[0] | cols=[15, 16, 17, 18] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Budget' | fill=FFFFFF00 | rows=[2] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell D3 | value='£million' | fill=FFFFFF00 | rows=[2] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell G3 | value='Common Areas of Spend' | fill=FFFFFF00 | rows=[2] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='Q4 2011-12' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='Q3 2011-12' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell L3 | value='Input Indicators' | fill=FFFFFF00 | rows=[2] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M3 | value='Current' | fill=FFFFFF00 | rows=[2] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N3 | value='Previous' | fill=FFFFFF00 | rows=[2] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell P3 | value='Whole Department Family - Workforce Size' | fill=FFFFFF00 | rows=[2] | cols=[15, 16] | col_header=True | row_header=False | metadata=False
Cell R3 | value='Current' | fill=FFFFFF00 | rows=[2] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S3 | value='Previous' | fill=FFFFFF00 | rows=[2] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell D5 | value='Q4 2011-12' | fill=FFFFFF00 | rows=[4] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='Q4 2010-11' | fill=FFFFFF00 | rows=[4] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell G5 | value='Estate Costs' | fill=FF00B050 | rows=[4, 5, 6, 7] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H5 | value='Total office estate (m2)' | fill=FF00B050 | rows=[4] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I5 | value='256858' | fill=None | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='268884' | fill=None | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L5 | value='1 Cost per head of population of total police force cost (£, current = 2011-12, previous = 2010-11)' | fill=FF00B050 | rows=[4] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M5 | value='198' | fill=None | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
