=== economy-table88.xlsx ===
Cell A1 | value='Direct Loan Portfolio by Deferment Type' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=True | row_header=True | metadata=True
Cell A2 | value='Includes outstanding principal and interest balances of Direct Loans in a Deferment status' | fill=FF00B0F0 | rows=[1] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=False | row_header=False | metadata=True
Cell A3 | value='Data Source: National Student Loan Data System (NSLDS)' | fill=FF00B0F0 | rows=[2] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=False | row_header=False | metadata=True
Cell C6 | value='In-School Deferment' | fill=00000000 | rows=[5] | cols=[2, 3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='Six-Month Post-Enrollment' | fill=00000000 | rows=[5] | cols=[4, 5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='Unemployment' | fill=00000000 | rows=[5] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='Economic Hardship' | fill=00000000 | rows=[5] | cols=[8, 9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='Military' | fill=00000000 | rows=[5] | cols=[10, 11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='Cancer Treatment' | fill=00000000 | rows=[5] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='Other' | fill=00000000 | rows=[5] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='Not Reported' | fill=00000000 | rows=[5] | cols=[16, 17] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Federal Fiscal Year' | fill=FFFFFF00 | rows=[6] | cols=[0, 1] | col_header=True | row_header=False | metadata=False
Cell C7 | value='Dollars Outstanding           (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E7 | value='Dollars Outstanding            (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G7 | value='Dollars Outstanding           (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I7 | value='Dollars Outstanding            (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K7 | value='Dollars Outstanding           (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M7 | value='Dollars Outstanding           (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O7 | value='Dollars Outstanding            (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q7 | value='Dollars Outstanding           (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell A8 | value='2015' | fill=00000000 | rows=[7, 8, 9, 10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Q1' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='65.9' | fill=7 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='2.69' | fill=7 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='3.8' | fill=None | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='0.12' | fill=None | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='9.8' | fill=7 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='0.31' | fill=7 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='5.8' | fill=None | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='0.23' | fill=None | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='0.3' | fill=7 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='0.01' | fill=7 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='N/A' | fill=None | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='N/A' | fill=None | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='0.5' | fill=7 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='0' | fill=7 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='0.3' | fill=None | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='0.02' | fill=None | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Q2' | fill=00000000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='78.2' | fill=7 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='2.9' | fill=7 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='4' | fill=None | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='0.13' | fill=None | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='9.3' | fill=7 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='0.28' | fill=7 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='5.6' | fill=None | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='0.21' | fill=None | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='0.3' | fill=7 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='0.01' | fill=7 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='N/A' | fill=None | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='N/A' | fill=None | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='0.6' | fill=7 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
