=== economy-table19.xlsx ===
Cell A1 | value='Table 2b: Bankruptcy rates per 10,000 adults, by location, England and Wales, 2011 to 2021 [r][note 11]' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A2 | value='Back to contents' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A3 | value='This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.' | fill=FF00B0F0 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A4 | value='Sources: Insolvency Service, Office for National Statistics (population estimates)' | fill=FF00B0F0 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A5 | value='Code' | fill=FFFFFF00 | rows=[4] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B5 | value='Name' | fill=FFFFFF00 | rows=[4] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C5 | value='Geography' | fill=FFFFFF00 | rows=[4] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='2011' | fill=FFFFFF00 | rows=[4] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='2012' | fill=FFFFFF00 | rows=[4] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F5 | value='2013' | fill=FFFFFF00 | rows=[4] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G5 | value='2014' | fill=FFFFFF00 | rows=[4] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H5 | value='2015' | fill=FFFFFF00 | rows=[4] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I5 | value='2016' | fill=FFFFFF00 | rows=[4] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J5 | value='2017' | fill=FFFFFF00 | rows=[4] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K5 | value='2018' | fill=FFFFFF00 | rows=[4] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L5 | value='2019' | fill=FFFFFF00 | rows=[4] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M5 | value='2020' | fill=FFFFFF00 | rows=[4] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N5 | value='2021 [p]' | fill=FFFFFF00 | rows=[4] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell A6 | value='K04000001' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='ENGLAND AND WALES' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='Country' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='9.48645726095108' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='7.13827106244881' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='5.48184356061461' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='4.50103905199651' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='3.47720822632565' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='3.27401428566643' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='3.26642435550823' | fill=00000000 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='3.57629425596983' | fill=00000000 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='3.5783954258608' | fill=00000000 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='2.69317561173196' | fill=00000000 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='1.8486457861047' | fill=00000000 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A7 | value='E92000001' | fill=00000000 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='ENGLAND' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='Country' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='9.40899456592136' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
