=== economy-table64.xlsx ===
Cell E1 | value='FEB2014' | fill=FFFFFF00 | rows=[0] | cols=[4, 5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell A2 | value='Membership Type' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Month Sold' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Proration' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='GL Code' | fill=FF00B0F0 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E2 | value='Opening Balance' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Sold' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Revenue' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Closing Balance' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell A3 | value='2013' | fill=FFFFFF00 | rows=[2] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A4 | value='3month' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='JAN' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='3' | fill=6 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='114003-40' | fill=FF00B0F0 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E4 | value='0' | fill=9 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H4 | value='0' | fill=9 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A5 | value='12 month' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='JAN' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='12' | fill=6 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='114003-40' | fill=FF00B0F0 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E5 | value='-2.98427949019242e-13' | fill=9 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G5 | value='0' | fill=9 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='-2.98427949019242e-13' | fill=9 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A6 | value='3month' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='FEB' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='3' | fill=6 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='114003-40' | fill=FF00B0F0 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E6 | value='0' | fill=9 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H6 | value='0' | fill=9 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A7 | value='12 month' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='FEB' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='12' | fill=6 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='114003-40' | fill=FF00B0F0 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E7 | value='-2.8421709430404e-13' | fill=9 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H7 | value='-2.8421709430404e-13' | fill=9 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A8 | value='3month' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='MAR' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='3' | fill=6 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='114003-40' | fill=FF00B0F0 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E8 | value='0' | fill=9 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H8 | value='0' | fill=9 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A9 | value='12 month' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='MAR' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='12' | fill=6 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='114003-40' | fill=FF00B0F0 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E9 | value='0' | fill=9 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G9 | value='0' | fill=9 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='0' | fill=9 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A10 | value='3month' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='APR' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='3' | fill=6 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='114003-40' | fill=FF00B0F0 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E10 | value='0' | fill=9 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H10 | value='0' | fill=9 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A11 | value='12 month' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B11 | value='APR' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C11 | value='12' | fill=6 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='114003-40' | fill=FF00B0F0 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E11 | value='0' | fill=9 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H11 | value='0' | fill=9 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
