=== economy-table93.xlsx ===
Cell A1 | value='Annual percent changes in selected Consumer Price Indexes, 1974 through 2023' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A2 | value='Consumer Price Index item' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='1974' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='1975' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='1976' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='1977' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='1978' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='1979' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='1980' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='1981' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='1982' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='1983' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='1984' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M2 | value='1985' | fill=FFFFFF00 | rows=[1] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='1986' | fill=FFFFFF00 | rows=[1] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O2 | value='1987' | fill=FFFFFF00 | rows=[1] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P2 | value='1988' | fill=FFFFFF00 | rows=[1] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q2 | value='1989' | fill=FFFFFF00 | rows=[1] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R2 | value='1990' | fill=FFFFFF00 | rows=[1] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S2 | value='1991' | fill=FFFFFF00 | rows=[1] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T2 | value='1992' | fill=FFFFFF00 | rows=[1] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U2 | value='1993' | fill=FFFFFF00 | rows=[1] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V2 | value='1994' | fill=FFFFFF00 | rows=[1] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W2 | value='1995' | fill=FFFFFF00 | rows=[1] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X2 | value='1996' | fill=FFFFFF00 | rows=[1] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell Y2 | value='1997' | fill=FFFFFF00 | rows=[1] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z2 | value='1998' | fill=FFFFFF00 | rows=[1] | cols=[25] | col_header=True | row_header=False | metadata=False
Cell AA2 | value='1999' | fill=FFFFFF00 | rows=[1] | cols=[26] | col_header=True | row_header=False | metadata=False
Cell AB2 | value='2000' | fill=FFFFFF00 | rows=[1] | cols=[27] | col_header=True | row_header=False | metadata=False
Cell AC2 | value='2001' | fill=FFFFFF00 | rows=[1] | cols=[28] | col_header=True | row_header=False | metadata=False
Cell AD2 | value='2002' | fill=FFFFFF00 | rows=[1] | cols=[29] | col_header=True | row_header=False | metadata=False
Cell AE2 | value='2003' | fill=FFFFFF00 | rows=[1] | cols=[30] | col_header=True | row_header=False | metadata=False
Cell AF2 | value='2004' | fill=FFFFFF00 | rows=[1] | cols=[31] | col_header=True | row_header=False | metadata=False
Cell AG2 | value='2005' | fill=FFFFFF00 | rows=[1] | cols=[32] | col_header=True | row_header=False | metadata=False
Cell AH2 | value='2006' | fill=FFFFFF00 | rows=[1] | cols=[33] | col_header=True | row_header=False | metadata=False
Cell AI2 | value='2007' | fill=FFFFFF00 | rows=[1] | cols=[34] | col_header=True | row_header=False | metadata=False
Cell AJ2 | value='2008' | fill=FFFFFF00 | rows=[1] | cols=[35] | col_header=True | row_header=False | metadata=False
Cell AK2 | value='2009' | fill=FFFFFF00 | rows=[1] | cols=[36] | col_header=True | row_header=False | metadata=False
Cell AL2 | value='2010' | fill=FFFFFF00 | rows=[1] | cols=[37] | col_header=True | row_header=False | metadata=False
Cell AM2 | value='2011' | fill=FFFFFF00 | rows=[1] | cols=[38] | col_header=True | row_header=False | metadata=False
Cell AN2 | value='2012' | fill=FFFFFF00 | rows=[1] | cols=[39] | col_header=True | row_header=False | metadata=False
Cell AO2 | value='2013' | fill=FFFFFF00 | rows=[1] | cols=[40] | col_header=True | row_header=False | metadata=False
Cell AP2 | value='2014' | fill=FFFFFF00 | rows=[1] | cols=[41] | col_header=True | row_header=False | metadata=False
Cell AQ2 | value='2015' | fill=FFFFFF00 | rows=[1] | cols=[42] | col_header=True | row_header=False | metadata=False
Cell AR2 | value='2016' | fill=FFFFFF00 | rows=[1] | cols=[43] | col_header=True | row_header=False | metadata=False
Cell AS2 | value='2017' | fill=FFFFFF00 | rows=[1] | cols=[44] | col_header=True | row_header=False | metadata=False
Cell AT2 | value='2018' | fill=FFFFFF00 | rows=[1] | cols=[45] | col_header=True | row_header=False | metadata=False
Cell AU2 | value='2019' | fill=FFFFFF00 | rows=[1] | cols=[46] | col_header=True | row_header=False | metadata=False
Cell AV2 | value='2020' | fill=FFFFFF00 | rows=[1] | cols=[47] | col_header=True | row_header=False | metadata=False
Cell AW2 | value='2021' | fill=FFFFFF00 | rows=[1] | cols=[48] | col_header=True | row_header=False | metadata=False
Cell AX2 | value='2022' | fill=FFFFFF00 | rows=[1] | cols=[49] | col_header=True | row_header=False | metadata=False
Cell AY2 | value='2023' | fill=FFFFFF00 | rows=[1] | cols=[50] | col_header=True | row_header=False | metadata=False
Cell A3 | value='All food' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='14.3' | fill=00000000 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='8.5' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='3' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='6.3' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='9.9' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
